Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);1;1;4;1;1;1;0;1;1;1;1;0;13;2023;Capital;São Paulo;001 DP - Sé
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);1;1;4;1;1;1;0;1;1;1;1;0;13;2023;Capital;São Paulo;001 DP - Sé
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;001 DP - Sé
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;001 DP - Sé
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;1;0;2;0;0;0;1;1;0;0;2;0;7;2023;Capital;São Paulo;001 DP - Sé
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;1;0;0;0;0;1;2023;Capital;São Paulo;001 DP - Sé
TENTATIVA DE HOMICÍDIO;0;0;1;0;2;0;0;1;0;2;1;0;7;2023;Capital;São Paulo;001 DP - Sé
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;1;0;0;0;0;0;0;1;2023;Capital;São Paulo;001 DP - Sé
LESÃO CORPORAL DOLOSA;29;30;27;29;30;24;28;25;42;49;60;29;402;2023;Capital;São Paulo;001 DP - Sé
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;12;14;18;17;8;11;8;12;11;10;16;15;152;2023;Capital;São Paulo;001 DP - Sé
LESÃO CORPORAL CULPOSA - OUTRAS;1;0;0;0;0;1;0;0;0;1;0;1;4;2023;Capital;São Paulo;001 DP - Sé
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;1;1;2023;Capital;São Paulo;001 DP - Sé
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;1;1;2023;Capital;São Paulo;001 DP - Sé
TOTAL DE ESTUPRO (4);2;4;4;4;1;0;1;1;3;1;1;3;25;2023;Capital;São Paulo;001 DP - Sé
ESTUPRO;2;1;3;1;0;0;1;1;1;1;1;0;12;2023;Capital;São Paulo;001 DP - Sé
ESTUPRO DE VULNERÁVEL;0;3;1;3;1;0;0;0;2;0;0;3;13;2023;Capital;São Paulo;001 DP - Sé
TOTAL DE ROUBO - OUTROS (1);500;459;650;387;386;289;242;323;244;294;287;273;4.334;2023;Capital;São Paulo;001 DP - Sé
ROUBO - OUTROS;500;458;647;385;383;287;241;322;243;292;285;272;4.315;2023;Capital;São Paulo;001 DP - Sé
ROUBO DE VEÍCULO;2;0;2;2;3;2;3;5;5;5;2;4;35;2023;Capital;São Paulo;001 DP - Sé
ROUBO A BANCO;0;0;0;0;0;0;1;0;0;0;0;0;1;2023;Capital;São Paulo;001 DP - Sé
ROUBO DE CARGA;0;1;3;2;3;2;0;1;1;2;2;1;18;2023;Capital;São Paulo;001 DP - Sé
FURTO - OUTROS;1.116;848;1.237;1.039;1.058;866;927;856;823;1.025;982;847;11.624;2023;Capital;São Paulo;001 DP - Sé
FURTO DE VEÍCULO;15;14;15;15;16;16;21;19;20;16;14;13;194;2023;Capital;São Paulo;001 DP - Sé
