Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);1;0;1;0;1;1;0;0;1;1;0;2;8;2023;Capital;São Paulo;002 DP - Bom Retiro
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);1;0;1;0;1;3;0;0;1;1;0;2;10;2023;Capital;São Paulo;002 DP - Bom Retiro
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;002 DP - Bom Retiro
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;002 DP - Bom Retiro
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;1;0;0;0;1;3;0;0;1;0;6;2023;Capital;São Paulo;002 DP - Bom Retiro
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;1;0;0;1;2023;Capital;São Paulo;002 DP - Bom Retiro
TENTATIVA DE HOMICÍDIO;0;0;0;0;0;2;0;1;1;1;0;0;5;2023;Capital;São Paulo;002 DP - Bom Retiro
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;002 DP - Bom Retiro
LESÃO CORPORAL DOLOSA;10;7;14;11;13;9;6;7;14;12;13;20;136;2023;Capital;São Paulo;002 DP - Bom Retiro
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;3;1;2;4;5;3;1;9;1;7;2;6;44;2023;Capital;São Paulo;002 DP - Bom Retiro
LESÃO CORPORAL CULPOSA - OUTRAS;0;1;0;0;3;0;1;2;0;0;0;0;7;2023;Capital;São Paulo;002 DP - Bom Retiro
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;002 DP - Bom Retiro
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;002 DP - Bom Retiro
TOTAL DE ESTUPRO (4);2;0;2;1;0;0;1;0;1;1;1;1;10;2023;Capital;São Paulo;002 DP - Bom Retiro
ESTUPRO;2;0;2;0;0;0;1;0;0;1;1;0;7;2023;Capital;São Paulo;002 DP - Bom Retiro
ESTUPRO DE VULNERÁVEL;0;0;0;1;0;0;0;0;1;0;0;1;3;2023;Capital;São Paulo;002 DP - Bom Retiro
TOTAL DE ROUBO - OUTROS (1);79;54;79;58;77;83;56;104;62;72;80;73;877;2023;Capital;São Paulo;002 DP - Bom Retiro
ROUBO - OUTROS;77;54;79;58;77;83;56;104;61;70;78;73;870;2023;Capital;São Paulo;002 DP - Bom Retiro
ROUBO DE VEÍCULO;2;0;1;2;2;1;2;1;0;0;1;1;13;2023;Capital;São Paulo;002 DP - Bom Retiro
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;002 DP - Bom Retiro
ROUBO DE CARGA;2;0;0;0;0;0;0;0;1;2;2;0;7;2023;Capital;São Paulo;002 DP - Bom Retiro
FURTO - OUTROS;281;270;382;301;326;320;348;400;309;387;377;405;4.106;2023;Capital;São Paulo;002 DP - Bom Retiro
FURTO DE VEÍCULO;8;4;6;6;4;4;9;4;6;6;10;7;74;2023;Capital;São Paulo;002 DP - Bom Retiro
