Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);1;2;3;0;0;0;0;1;0;1;0;0;8;2023;Capital;São Paulo;003 DP - Campos Elísios
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);1;2;3;0;0;0;0;1;0;1;0;0;8;2023;Capital;São Paulo;003 DP - Campos Elísios
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;003 DP - Campos Elísios
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;003 DP - Campos Elísios
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;1;0;0;0;0;0;0;1;0;0;0;0;2;2023;Capital;São Paulo;003 DP - Campos Elísios
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;003 DP - Campos Elísios
TENTATIVA DE HOMICÍDIO;0;4;0;0;0;0;0;0;2;1;1;2;10;2023;Capital;São Paulo;003 DP - Campos Elísios
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;1;0;0;0;0;1;2023;Capital;São Paulo;003 DP - Campos Elísios
LESÃO CORPORAL DOLOSA;32;37;46;29;20;34;22;44;34;30;37;35;400;2023;Capital;São Paulo;003 DP - Campos Elísios
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;6;0;10;6;4;4;4;8;5;7;5;5;64;2023;Capital;São Paulo;003 DP - Campos Elísios
LESÃO CORPORAL CULPOSA - OUTRAS;1;1;1;1;0;0;0;0;0;1;1;0;6;2023;Capital;São Paulo;003 DP - Campos Elísios
LATROCÍNIO;0;0;0;0;0;0;0;1;0;0;0;0;1;2023;Capital;São Paulo;003 DP - Campos Elísios
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;1;0;0;0;0;1;2023;Capital;São Paulo;003 DP - Campos Elísios
TOTAL DE ESTUPRO (4);2;1;2;3;1;1;2;2;1;0;0;1;16;2023;Capital;São Paulo;003 DP - Campos Elísios
ESTUPRO;2;0;0;1;1;1;2;1;1;0;0;1;10;2023;Capital;São Paulo;003 DP - Campos Elísios
ESTUPRO DE VULNERÁVEL;0;1;2;2;0;0;0;1;0;0;0;0;6;2023;Capital;São Paulo;003 DP - Campos Elísios
TOTAL DE ROUBO - OUTROS (1);697;834;822;566;524;514;446;363;344;367;341;381;6.199;2023;Capital;São Paulo;003 DP - Campos Elísios
ROUBO - OUTROS;692;833;821;566;523;514;446;363;344;367;341;381;6.191;2023;Capital;São Paulo;003 DP - Campos Elísios
ROUBO DE VEÍCULO;2;2;3;0;5;1;3;4;2;3;0;2;27;2023;Capital;São Paulo;003 DP - Campos Elísios
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;003 DP - Campos Elísios
ROUBO DE CARGA;5;1;1;0;1;0;0;0;0;0;0;0;8;2023;Capital;São Paulo;003 DP - Campos Elísios
FURTO - OUTROS;1.069;1.359;1.120;798;828;940;911;857;821;861;851;677;11.092;2023;Capital;São Paulo;003 DP - Campos Elísios
FURTO DE VEÍCULO;11;16;13;20;16;11;10;6;11;11;8;10;143;2023;Capital;São Paulo;003 DP - Campos Elísios
