Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);0;0;0;0;1;0;0;0;0;0;0;0;1;2023;Capital;São Paulo;004 DP - Consolação
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;1;0;0;0;0;0;0;0;1;2023;Capital;São Paulo;004 DP - Consolação
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;004 DP - Consolação
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;004 DP - Consolação
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;1;0;0;0;0;0;0;1;2023;Capital;São Paulo;004 DP - Consolação
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;004 DP - Consolação
TENTATIVA DE HOMICÍDIO;0;0;0;0;0;0;0;1;0;0;1;0;2;2023;Capital;São Paulo;004 DP - Consolação
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;004 DP - Consolação
LESÃO CORPORAL DOLOSA;25;20;26;20;23;15;22;24;33;18;27;30;283;2023;Capital;São Paulo;004 DP - Consolação
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;3;7;9;4;11;6;7;4;7;11;5;4;78;2023;Capital;São Paulo;004 DP - Consolação
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;2;4;1;0;0;2;0;2;11;2023;Capital;São Paulo;004 DP - Consolação
LATROCÍNIO;0;0;0;1;0;0;0;0;0;0;0;0;1;2023;Capital;São Paulo;004 DP - Consolação
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;1;0;0;0;0;0;0;0;0;1;2023;Capital;São Paulo;004 DP - Consolação
TOTAL DE ESTUPRO (4);0;3;1;1;3;2;1;2;1;4;1;2;21;2023;Capital;São Paulo;004 DP - Consolação
ESTUPRO;0;1;0;0;2;0;1;2;0;1;1;1;9;2023;Capital;São Paulo;004 DP - Consolação
ESTUPRO DE VULNERÁVEL;0;2;1;1;1;2;0;0;1;3;0;1;12;2023;Capital;São Paulo;004 DP - Consolação
TOTAL DE ROUBO - OUTROS (1);239;340;244;226;221;221;203;212;221;272;205;236;2.840;2023;Capital;São Paulo;004 DP - Consolação
ROUBO - OUTROS;239;340;244;226;220;221;201;211;221;272;205;236;2.836;2023;Capital;São Paulo;004 DP - Consolação
ROUBO DE VEÍCULO;1;1;2;2;1;0;1;3;2;1;1;0;15;2023;Capital;São Paulo;004 DP - Consolação
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;004 DP - Consolação
ROUBO DE CARGA;0;0;0;0;1;0;2;1;0;0;0;0;4;2023;Capital;São Paulo;004 DP - Consolação
FURTO - OUTROS;605;1.055;630;483;482;681;507;552;518;646;520;501;7.180;2023;Capital;São Paulo;004 DP - Consolação
FURTO DE VEÍCULO;17;17;16;13;14;14;19;8;13;16;18;13;178;2023;Capital;São Paulo;004 DP - Consolação
