Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);1;1;0;0;0;0;0;0;1;0;0;0;3;2023;Capital;São Paulo;006 DP - Cambuci
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);1;1;0;0;0;0;0;0;1;0;0;0;3;2023;Capital;São Paulo;006 DP - Cambuci
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;006 DP - Cambuci
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;006 DP - Cambuci
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;1;0;0;0;0;0;0;0;0;0;1;2023;Capital;São Paulo;006 DP - Cambuci
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;006 DP - Cambuci
TENTATIVA DE HOMICÍDIO;0;1;1;0;0;0;0;0;0;0;1;0;3;2023;Capital;São Paulo;006 DP - Cambuci
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;006 DP - Cambuci
LESÃO CORPORAL DOLOSA;20;23;27;14;30;27;27;30;43;31;30;32;334;2023;Capital;São Paulo;006 DP - Cambuci
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;7;6;9;3;7;9;2;2;8;7;7;13;80;2023;Capital;São Paulo;006 DP - Cambuci
LESÃO CORPORAL CULPOSA - OUTRAS;1;0;1;2;0;0;0;2;0;0;2;2;10;2023;Capital;São Paulo;006 DP - Cambuci
LATROCÍNIO;1;0;0;0;0;0;0;0;0;0;0;0;1;2023;Capital;São Paulo;006 DP - Cambuci
Nº DE VÍTIMAS EM LATROCÍNIO;1;0;0;0;0;0;0;0;0;0;0;0;1;2023;Capital;São Paulo;006 DP - Cambuci
TOTAL DE ESTUPRO (4);3;4;0;2;2;2;2;2;3;0;1;2;23;2023;Capital;São Paulo;006 DP - Cambuci
ESTUPRO;2;2;0;1;1;0;0;0;0;0;0;0;6;2023;Capital;São Paulo;006 DP - Cambuci
ESTUPRO DE VULNERÁVEL;1;2;0;1;1;2;2;2;3;0;1;2;17;2023;Capital;São Paulo;006 DP - Cambuci
TOTAL DE ROUBO - OUTROS (1);83;88;113;67;83;81;69;83;87;143;99;97;1.093;2023;Capital;São Paulo;006 DP - Cambuci
ROUBO - OUTROS;83;87;113;67;83;81;69;83;85;142;99;96;1.088;2023;Capital;São Paulo;006 DP - Cambuci
ROUBO DE VEÍCULO;13;12;5;8;12;5;7;3;12;4;3;6;90;2023;Capital;São Paulo;006 DP - Cambuci
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;006 DP - Cambuci
ROUBO DE CARGA;0;1;0;0;0;0;0;0;2;1;0;1;5;2023;Capital;São Paulo;006 DP - Cambuci
FURTO - OUTROS;186;167;273;196;203;246;212;240;219;226;212;223;2.603;2023;Capital;São Paulo;006 DP - Cambuci
FURTO DE VEÍCULO;55;58;82;57;89;98;72;85;72;90;78;42;878;2023;Capital;São Paulo;006 DP - Cambuci
