Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);0;0;0;0;1;2;0;0;0;0;0;2;5;2023;Capital;São Paulo;007 DP - Lapa
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;1;2;0;0;0;0;0;2;5;2023;Capital;São Paulo;007 DP - Lapa
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;007 DP - Lapa
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;007 DP - Lapa
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;1;1;1;0;0;1;0;2;0;1;0;7;2023;Capital;São Paulo;007 DP - Lapa
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;007 DP - Lapa
TENTATIVA DE HOMICÍDIO;0;1;1;0;0;0;0;1;0;0;3;0;6;2023;Capital;São Paulo;007 DP - Lapa
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;007 DP - Lapa
LESÃO CORPORAL DOLOSA;23;15;24;19;21;22;15;18;29;24;26;28;264;2023;Capital;São Paulo;007 DP - Lapa
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;9;9;9;8;12;10;10;7;10;8;6;7;105;2023;Capital;São Paulo;007 DP - Lapa
LESÃO CORPORAL CULPOSA - OUTRAS;0;1;2;1;0;1;0;0;1;1;1;0;8;2023;Capital;São Paulo;007 DP - Lapa
LATROCÍNIO;0;0;0;0;1;0;0;0;0;0;0;0;1;2023;Capital;São Paulo;007 DP - Lapa
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;1;0;0;0;0;0;0;0;1;2023;Capital;São Paulo;007 DP - Lapa
TOTAL DE ESTUPRO (4);3;4;3;0;2;0;1;1;1;3;1;0;19;2023;Capital;São Paulo;007 DP - Lapa
ESTUPRO;2;0;1;0;0;0;1;1;0;1;0;0;6;2023;Capital;São Paulo;007 DP - Lapa
ESTUPRO DE VULNERÁVEL;1;4;2;0;2;0;0;0;1;2;1;0;13;2023;Capital;São Paulo;007 DP - Lapa
TOTAL DE ROUBO - OUTROS (1);106;130;165;148;162;108;120;135;149;157;122;120;1.622;2023;Capital;São Paulo;007 DP - Lapa
ROUBO - OUTROS;103;127;165;146;160;105;117;135;149;155;120;119;1.601;2023;Capital;São Paulo;007 DP - Lapa
ROUBO DE VEÍCULO;4;4;9;8;4;3;12;4;7;12;8;4;79;2023;Capital;São Paulo;007 DP - Lapa
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;007 DP - Lapa
ROUBO DE CARGA;3;3;0;2;2;3;3;0;0;2;2;1;21;2023;Capital;São Paulo;007 DP - Lapa
FURTO - OUTROS;322;295;359;329;417;296;350;440;379;364;323;347;4.221;2023;Capital;São Paulo;007 DP - Lapa
FURTO DE VEÍCULO;69;74;97;77;69;49;63;93;73;68;72;69;873;2023;Capital;São Paulo;007 DP - Lapa
