Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);0;0;0;0;0;1;0;0;1;1;1;0;4;2023;Capital;São Paulo;008 DP - Brás
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;0;1;0;0;1;1;1;0;4;2023;Capital;São Paulo;008 DP - Brás
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;008 DP - Brás
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;008 DP - Brás
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;1;1;0;1;1;0;0;0;0;0;1;5;2023;Capital;São Paulo;008 DP - Brás
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;1;1;2023;Capital;São Paulo;008 DP - Brás
TENTATIVA DE HOMICÍDIO;0;1;1;0;0;1;2;1;0;0;0;1;7;2023;Capital;São Paulo;008 DP - Brás
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;1;0;0;0;1;2023;Capital;São Paulo;008 DP - Brás
LESÃO CORPORAL DOLOSA;36;42;30;33;60;41;44;41;47;45;47;48;514;2023;Capital;São Paulo;008 DP - Brás
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;6;10;7;9;17;11;10;10;7;10;13;14;124;2023;Capital;São Paulo;008 DP - Brás
LESÃO CORPORAL CULPOSA - OUTRAS;1;0;0;0;3;0;3;0;0;0;2;1;10;2023;Capital;São Paulo;008 DP - Brás
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;008 DP - Brás
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;008 DP - Brás
TOTAL DE ESTUPRO (4);2;1;0;3;1;3;2;0;5;2;1;4;24;2023;Capital;São Paulo;008 DP - Brás
ESTUPRO;1;0;0;1;1;3;1;0;1;0;1;1;10;2023;Capital;São Paulo;008 DP - Brás
ESTUPRO DE VULNERÁVEL;1;1;0;2;0;0;1;0;4;2;0;3;14;2023;Capital;São Paulo;008 DP - Brás
TOTAL DE ROUBO - OUTROS (1);108;90;127;88;99;110;106;97;79;87;114;108;1.213;2023;Capital;São Paulo;008 DP - Brás
ROUBO - OUTROS;107;86;126;88;99;109;104;96;79;85;114;108;1.201;2023;Capital;São Paulo;008 DP - Brás
ROUBO DE VEÍCULO;7;1;1;4;3;1;2;0;1;3;4;7;34;2023;Capital;São Paulo;008 DP - Brás
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;008 DP - Brás
ROUBO DE CARGA;1;4;1;0;0;1;2;1;0;2;0;0;12;2023;Capital;São Paulo;008 DP - Brás
FURTO - OUTROS;344;344;438;295;396;449;480;405;409;407;414;584;4.965;2023;Capital;São Paulo;008 DP - Brás
FURTO DE VEÍCULO;34;36;44;29;34;33;33;36;28;38;25;30;400;2023;Capital;São Paulo;008 DP - Brás
