Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);0;0;1;1;2;0;0;0;0;1;0;1;6;2023;Capital;São Paulo;010 DP - Penha de França
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;1;3;2;0;0;0;0;1;0;1;8;2023;Capital;São Paulo;010 DP - Penha de França
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;1;0;0;0;0;0;0;0;1;2023;Capital;São Paulo;010 DP - Penha de França
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;1;0;0;0;0;0;0;0;1;2023;Capital;São Paulo;010 DP - Penha de França
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;1;1;0;0;0;0;0;0;2;4;2023;Capital;São Paulo;010 DP - Penha de França
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;010 DP - Penha de França
TENTATIVA DE HOMICÍDIO;0;0;0;3;0;0;2;1;1;1;2;1;11;2023;Capital;São Paulo;010 DP - Penha de França
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;010 DP - Penha de França
LESÃO CORPORAL DOLOSA;31;36;48;32;37;35;41;42;40;44;32;42;460;2023;Capital;São Paulo;010 DP - Penha de França
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;6;14;19;8;8;11;6;10;9;17;12;14;134;2023;Capital;São Paulo;010 DP - Penha de França
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;2;1;0;2;1;0;0;1;3;10;2023;Capital;São Paulo;010 DP - Penha de França
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;010 DP - Penha de França
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;010 DP - Penha de França
TOTAL DE ESTUPRO (4);4;3;7;2;3;4;6;4;4;0;3;3;43;2023;Capital;São Paulo;010 DP - Penha de França
ESTUPRO;3;1;2;0;0;0;2;1;2;0;1;1;13;2023;Capital;São Paulo;010 DP - Penha de França
ESTUPRO DE VULNERÁVEL;1;2;5;2;3;4;4;3;2;0;2;2;30;2023;Capital;São Paulo;010 DP - Penha de França
TOTAL DE ROUBO - OUTROS (1);103;117;113;106;111;78;66;92;85;68;91;117;1.147;2023;Capital;São Paulo;010 DP - Penha de França
ROUBO - OUTROS;101;116;112;105;111;76;66;92;85;66;91;116;1.137;2023;Capital;São Paulo;010 DP - Penha de França
ROUBO DE VEÍCULO;17;14;17;11;11;5;9;16;12;12;16;10;150;2023;Capital;São Paulo;010 DP - Penha de França
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;010 DP - Penha de França
ROUBO DE CARGA;2;1;1;1;0;2;0;0;0;2;0;1;10;2023;Capital;São Paulo;010 DP - Penha de França
FURTO - OUTROS;191;159;227;185;205;191;209;200;179;216;154;204;2.320;2023;Capital;São Paulo;010 DP - Penha de França
FURTO DE VEÍCULO;85;52;62;50;67;72;63;73;61;70;68;63;786;2023;Capital;São Paulo;010 DP - Penha de França
