Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);0;0;0;0;1;0;0;0;0;1;0;1;3;2023;Capital;São Paulo;011 DP - Santo Amaro
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;1;0;0;0;0;1;0;1;3;2023;Capital;São Paulo;011 DP - Santo Amaro
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;011 DP - Santo Amaro
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;011 DP - Santo Amaro
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;1;0;0;1;2;0;1;0;3;0;2;1;11;2023;Capital;São Paulo;011 DP - Santo Amaro
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;011 DP - Santo Amaro
TENTATIVA DE HOMICÍDIO;1;0;0;0;1;1;0;0;1;0;1;0;5;2023;Capital;São Paulo;011 DP - Santo Amaro
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;011 DP - Santo Amaro
LESÃO CORPORAL DOLOSA;24;26;27;22;19;27;22;22;29;25;34;19;296;2023;Capital;São Paulo;011 DP - Santo Amaro
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;16;26;31;25;18;20;27;18;17;27;34;23;282;2023;Capital;São Paulo;011 DP - Santo Amaro
LESÃO CORPORAL CULPOSA - OUTRAS;0;1;2;1;2;2;1;3;0;1;0;0;13;2023;Capital;São Paulo;011 DP - Santo Amaro
LATROCÍNIO;0;0;0;0;0;0;1;0;0;0;0;0;1;2023;Capital;São Paulo;011 DP - Santo Amaro
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;1;0;0;0;0;0;1;2023;Capital;São Paulo;011 DP - Santo Amaro
TOTAL DE ESTUPRO (4);0;5;3;4;0;2;0;3;0;2;3;1;23;2023;Capital;São Paulo;011 DP - Santo Amaro
ESTUPRO;0;2;1;2;0;0;0;0;0;1;1;0;7;2023;Capital;São Paulo;011 DP - Santo Amaro
ESTUPRO DE VULNERÁVEL;0;3;2;2;0;2;0;3;0;1;2;1;16;2023;Capital;São Paulo;011 DP - Santo Amaro
TOTAL DE ROUBO - OUTROS (1);228;167;216;187;201;214;215;216;176;189;208;189;2.406;2023;Capital;São Paulo;011 DP - Santo Amaro
ROUBO - OUTROS;225;163;216;182;199;212;214;214;175;186;205;187;2.378;2023;Capital;São Paulo;011 DP - Santo Amaro
ROUBO DE VEÍCULO;17;27;28;25;24;18;22;10;19;28;26;25;269;2023;Capital;São Paulo;011 DP - Santo Amaro
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;011 DP - Santo Amaro
ROUBO DE CARGA;3;4;0;5;2;2;1;2;1;3;3;2;28;2023;Capital;São Paulo;011 DP - Santo Amaro
FURTO - OUTROS;410;443;498;502;579;509;510;442;476;508;563;465;5.905;2023;Capital;São Paulo;011 DP - Santo Amaro
FURTO DE VEÍCULO;60;52;68;59;87;71;83;77;88;55;58;70;828;2023;Capital;São Paulo;011 DP - Santo Amaro
