Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);1;1;1;1;0;0;2;0;0;0;0;1;7;2023;Capital;São Paulo;012 DP - Pari
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);1;1;1;1;0;0;2;0;0;0;0;1;7;2023;Capital;São Paulo;012 DP - Pari
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;012 DP - Pari
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;012 DP - Pari
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;1;0;1;0;0;0;1;0;0;2;0;0;5;2023;Capital;São Paulo;012 DP - Pari
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;012 DP - Pari
TENTATIVA DE HOMICÍDIO;2;2;0;2;0;0;2;0;0;0;3;2;13;2023;Capital;São Paulo;012 DP - Pari
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;012 DP - Pari
LESÃO CORPORAL DOLOSA;32;35;43;38;35;39;44;43;48;45;39;43;484;2023;Capital;São Paulo;012 DP - Pari
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;7;9;21;19;13;9;5;15;9;16;20;24;167;2023;Capital;São Paulo;012 DP - Pari
LESÃO CORPORAL CULPOSA - OUTRAS;2;3;0;2;4;1;1;1;0;0;0;0;14;2023;Capital;São Paulo;012 DP - Pari
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;1;1;2023;Capital;São Paulo;012 DP - Pari
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;1;1;2023;Capital;São Paulo;012 DP - Pari
TOTAL DE ESTUPRO (4);1;1;3;1;2;3;3;0;1;0;0;2;17;2023;Capital;São Paulo;012 DP - Pari
ESTUPRO;0;0;1;1;1;0;2;0;1;0;0;1;7;2023;Capital;São Paulo;012 DP - Pari
ESTUPRO DE VULNERÁVEL;1;1;2;0;1;3;1;0;0;0;0;1;10;2023;Capital;São Paulo;012 DP - Pari
TOTAL DE ROUBO - OUTROS (1);204;208;265;235;262;206;243;242;263;204;258;258;2.848;2023;Capital;São Paulo;012 DP - Pari
ROUBO - OUTROS;192;198;253;224;246;197;236;232;250;194;241;247;2.710;2023;Capital;São Paulo;012 DP - Pari
ROUBO DE VEÍCULO;2;9;8;9;7;7;8;7;2;8;8;7;82;2023;Capital;São Paulo;012 DP - Pari
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;012 DP - Pari
ROUBO DE CARGA;12;10;12;11;16;9;7;10;13;10;17;11;138;2023;Capital;São Paulo;012 DP - Pari
FURTO - OUTROS;629;498;634;712;792;809;791;722;630;652;782;1.291;8.942;2023;Capital;São Paulo;012 DP - Pari
FURTO DE VEÍCULO;35;23;27;25;40;25;16;22;24;36;43;41;357;2023;Capital;São Paulo;012 DP - Pari
