Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);1;0;0;0;1;0;0;0;0;0;0;0;2;2023;Capital;São Paulo;014 DP - Pinheiros
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);1;0;0;0;1;0;0;0;0;0;0;0;2;2023;Capital;São Paulo;014 DP - Pinheiros
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;014 DP - Pinheiros
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;014 DP - Pinheiros
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;3;0;0;0;0;0;1;0;1;1;2;8;2023;Capital;São Paulo;014 DP - Pinheiros
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;014 DP - Pinheiros
TENTATIVA DE HOMICÍDIO;0;0;0;1;1;0;0;2;1;1;0;0;6;2023;Capital;São Paulo;014 DP - Pinheiros
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;014 DP - Pinheiros
LESÃO CORPORAL DOLOSA;15;35;32;30;33;25;29;27;30;23;18;33;330;2023;Capital;São Paulo;014 DP - Pinheiros
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;10;24;20;13;19;29;16;19;12;21;22;10;215;2023;Capital;São Paulo;014 DP - Pinheiros
LESÃO CORPORAL CULPOSA - OUTRAS;2;0;2;1;1;1;3;1;1;0;2;2;16;2023;Capital;São Paulo;014 DP - Pinheiros
LATROCÍNIO;0;0;0;1;0;0;0;0;0;0;0;0;1;2023;Capital;São Paulo;014 DP - Pinheiros
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;1;0;0;0;0;0;0;0;0;1;2023;Capital;São Paulo;014 DP - Pinheiros
TOTAL DE ESTUPRO (4);3;2;0;1;3;1;2;1;2;2;3;3;23;2023;Capital;São Paulo;014 DP - Pinheiros
ESTUPRO;1;2;0;0;2;1;0;1;0;0;0;1;8;2023;Capital;São Paulo;014 DP - Pinheiros
ESTUPRO DE VULNERÁVEL;2;0;0;1;1;0;2;0;2;2;3;2;15;2023;Capital;São Paulo;014 DP - Pinheiros
TOTAL DE ROUBO - OUTROS (1);297;304;265;290;272;273;266;263;221;259;402;279;3.391;2023;Capital;São Paulo;014 DP - Pinheiros
ROUBO - OUTROS;296;304;264;290;271;271;265;263;221;259;401;279;3.384;2023;Capital;São Paulo;014 DP - Pinheiros
ROUBO DE VEÍCULO;8;10;15;7;5;10;5;3;5;10;11;8;97;2023;Capital;São Paulo;014 DP - Pinheiros
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;014 DP - Pinheiros
ROUBO DE CARGA;1;0;1;0;1;2;1;0;0;0;1;0;7;2023;Capital;São Paulo;014 DP - Pinheiros
FURTO - OUTROS;600;1.464;743;627;720;682;698;766;668;701;675;676;9.020;2023;Capital;São Paulo;014 DP - Pinheiros
FURTO DE VEÍCULO;67;68;68;62;58;50;41;51;48;49;59;28;649;2023;Capital;São Paulo;014 DP - Pinheiros
