Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;015 DP - Itaim Bibi
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;015 DP - Itaim Bibi
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;015 DP - Itaim Bibi
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;015 DP - Itaim Bibi
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;1;0;0;1;1;0;3;2023;Capital;São Paulo;015 DP - Itaim Bibi
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;1;1;2023;Capital;São Paulo;015 DP - Itaim Bibi
TENTATIVA DE HOMICÍDIO;0;0;0;1;0;1;0;1;0;0;0;2;5;2023;Capital;São Paulo;015 DP - Itaim Bibi
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;1;0;0;0;0;1;2023;Capital;São Paulo;015 DP - Itaim Bibi
LESÃO CORPORAL DOLOSA;15;15;19;20;23;10;11;8;14;18;18;25;196;2023;Capital;São Paulo;015 DP - Itaim Bibi
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;20;13;19;15;19;17;23;26;20;20;25;22;239;2023;Capital;São Paulo;015 DP - Itaim Bibi
LESÃO CORPORAL CULPOSA - OUTRAS;2;1;1;1;2;0;2;2;2;2;1;1;17;2023;Capital;São Paulo;015 DP - Itaim Bibi
LATROCÍNIO;1;0;0;0;0;0;0;0;0;0;0;0;1;2023;Capital;São Paulo;015 DP - Itaim Bibi
Nº DE VÍTIMAS EM LATROCÍNIO;1;0;0;0;0;0;0;0;0;0;0;0;1;2023;Capital;São Paulo;015 DP - Itaim Bibi
TOTAL DE ESTUPRO (4);1;2;2;2;1;1;1;0;1;0;0;0;11;2023;Capital;São Paulo;015 DP - Itaim Bibi
ESTUPRO;0;1;1;1;0;1;1;0;1;0;0;0;6;2023;Capital;São Paulo;015 DP - Itaim Bibi
ESTUPRO DE VULNERÁVEL;1;1;1;1;1;0;0;0;0;0;0;0;5;2023;Capital;São Paulo;015 DP - Itaim Bibi
TOTAL DE ROUBO - OUTROS (1);149;140;175;192;228;184;238;161;123;198;182;181;2.151;2023;Capital;São Paulo;015 DP - Itaim Bibi
ROUBO - OUTROS;148;138;175;191;227;184;237;159;121;195;182;180;2.137;2023;Capital;São Paulo;015 DP - Itaim Bibi
ROUBO DE VEÍCULO;6;3;14;3;6;11;10;5;9;7;11;7;92;2023;Capital;São Paulo;015 DP - Itaim Bibi
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;015 DP - Itaim Bibi
ROUBO DE CARGA;1;2;0;1;1;0;1;2;2;3;0;1;14;2023;Capital;São Paulo;015 DP - Itaim Bibi
FURTO - OUTROS;327;764;470;386;489;408;479;472;403;495;478;464;5.635;2023;Capital;São Paulo;015 DP - Itaim Bibi
FURTO DE VEÍCULO;29;27;41;34;31;27;22;29;22;34;28;18;342;2023;Capital;São Paulo;015 DP - Itaim Bibi
