Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);0;1;0;0;1;1;0;0;0;0;1;0;4;2023;Capital;São Paulo;016 DP - Vila Clementino
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;1;0;0;1;1;0;0;0;0;1;0;4;2023;Capital;São Paulo;016 DP - Vila Clementino
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;016 DP - Vila Clementino
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;016 DP - Vila Clementino
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;2;0;1;0;3;0;2;0;1;1;1;0;11;2023;Capital;São Paulo;016 DP - Vila Clementino
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;016 DP - Vila Clementino
TENTATIVA DE HOMICÍDIO;2;0;1;0;0;0;0;0;0;0;2;0;5;2023;Capital;São Paulo;016 DP - Vila Clementino
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;016 DP - Vila Clementino
LESÃO CORPORAL DOLOSA;30;21;32;31;25;31;31;24;29;25;28;28;335;2023;Capital;São Paulo;016 DP - Vila Clementino
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;11;9;19;10;14;12;10;9;17;16;20;16;163;2023;Capital;São Paulo;016 DP - Vila Clementino
LESÃO CORPORAL CULPOSA - OUTRAS;4;0;1;2;0;3;0;2;0;0;3;3;18;2023;Capital;São Paulo;016 DP - Vila Clementino
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;016 DP - Vila Clementino
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;016 DP - Vila Clementino
TOTAL DE ESTUPRO (4);1;0;6;1;3;0;0;0;5;1;0;3;20;2023;Capital;São Paulo;016 DP - Vila Clementino
ESTUPRO;0;0;3;1;1;0;0;0;2;0;0;1;8;2023;Capital;São Paulo;016 DP - Vila Clementino
ESTUPRO DE VULNERÁVEL;1;0;3;0;2;0;0;0;3;1;0;2;12;2023;Capital;São Paulo;016 DP - Vila Clementino
TOTAL DE ROUBO - OUTROS (1);154;157;181;145;146;163;170;174;153;120;128;141;1.832;2023;Capital;São Paulo;016 DP - Vila Clementino
ROUBO - OUTROS;153;156;178;145;145;163;170;173;152;120;126;139;1.820;2023;Capital;São Paulo;016 DP - Vila Clementino
ROUBO DE VEÍCULO;23;33;25;21;21;32;31;16;19;7;11;17;256;2023;Capital;São Paulo;016 DP - Vila Clementino
ROUBO A BANCO;0;0;1;0;0;0;0;0;0;0;0;0;1;2023;Capital;São Paulo;016 DP - Vila Clementino
ROUBO DE CARGA;1;1;2;0;1;0;0;1;1;0;2;2;11;2023;Capital;São Paulo;016 DP - Vila Clementino
FURTO - OUTROS;272;293;325;266;336;297;297;328;259;263;255;305;3.496;2023;Capital;São Paulo;016 DP - Vila Clementino
FURTO DE VEÍCULO;79;62;86;63;101;79;56;79;68;92;84;43;892;2023;Capital;São Paulo;016 DP - Vila Clementino
