Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);1;0;1;0;0;0;0;0;0;0;0;2;4;2023;Capital;São Paulo;017 DP - Ipiranga
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);1;0;1;0;0;0;0;0;0;0;0;2;4;2023;Capital;São Paulo;017 DP - Ipiranga
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;017 DP - Ipiranga
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;017 DP - Ipiranga
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;1;0;2;0;0;1;0;0;4;2023;Capital;São Paulo;017 DP - Ipiranga
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;017 DP - Ipiranga
TENTATIVA DE HOMICÍDIO;0;2;1;0;0;0;2;1;1;0;1;0;8;2023;Capital;São Paulo;017 DP - Ipiranga
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;017 DP - Ipiranga
LESÃO CORPORAL DOLOSA;17;19;14;21;23;23;30;31;29;19;33;23;282;2023;Capital;São Paulo;017 DP - Ipiranga
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;9;10;19;16;18;19;14;19;20;12;16;9;181;2023;Capital;São Paulo;017 DP - Ipiranga
LESÃO CORPORAL CULPOSA - OUTRAS;1;3;0;0;0;2;4;1;1;3;0;2;17;2023;Capital;São Paulo;017 DP - Ipiranga
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;017 DP - Ipiranga
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;017 DP - Ipiranga
TOTAL DE ESTUPRO (4);1;1;3;1;3;1;1;2;3;1;1;0;18;2023;Capital;São Paulo;017 DP - Ipiranga
ESTUPRO;0;0;2;0;2;0;0;0;2;0;0;0;6;2023;Capital;São Paulo;017 DP - Ipiranga
ESTUPRO DE VULNERÁVEL;1;1;1;1;1;1;1;2;1;1;1;0;12;2023;Capital;São Paulo;017 DP - Ipiranga
TOTAL DE ROUBO - OUTROS (1);94;94;121;111;100;86;126;138;139;127;92;121;1.349;2023;Capital;São Paulo;017 DP - Ipiranga
ROUBO - OUTROS;93;93;116;110;95;84;125;135;139;124;89;118;1.321;2023;Capital;São Paulo;017 DP - Ipiranga
ROUBO DE VEÍCULO;27;16;26;19;20;17;16;24;24;28;18;17;252;2023;Capital;São Paulo;017 DP - Ipiranga
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;017 DP - Ipiranga
ROUBO DE CARGA;1;1;5;1;5;2;1;3;0;3;3;3;28;2023;Capital;São Paulo;017 DP - Ipiranga
FURTO - OUTROS;206;196;249;237;286;258;279;321;273;282;289;240;3.116;2023;Capital;São Paulo;017 DP - Ipiranga
FURTO DE VEÍCULO;85;74;94;84;112;121;99;102;71;122;87;56;1.107;2023;Capital;São Paulo;017 DP - Ipiranga
