Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;019 DP - Vila Maria
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;019 DP - Vila Maria
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;019 DP - Vila Maria
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;019 DP - Vila Maria
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;1;0;1;1;1;0;1;1;0;0;0;0;6;2023;Capital;São Paulo;019 DP - Vila Maria
HOMICÍDIO CULPOSO OUTROS;1;0;0;0;0;0;0;0;0;0;0;0;1;2023;Capital;São Paulo;019 DP - Vila Maria
TENTATIVA DE HOMICÍDIO;1;1;1;0;1;0;2;0;0;0;0;1;7;2023;Capital;São Paulo;019 DP - Vila Maria
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;019 DP - Vila Maria
LESÃO CORPORAL DOLOSA;16;14;28;24;20;29;20;14;30;24;23;42;284;2023;Capital;São Paulo;019 DP - Vila Maria
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;4;8;4;9;19;9;13;13;9;9;7;9;113;2023;Capital;São Paulo;019 DP - Vila Maria
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;1;0;0;0;0;1;0;0;1;3;2023;Capital;São Paulo;019 DP - Vila Maria
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;019 DP - Vila Maria
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;019 DP - Vila Maria
TOTAL DE ESTUPRO (4);0;1;0;2;0;1;0;1;1;1;4;2;13;2023;Capital;São Paulo;019 DP - Vila Maria
ESTUPRO;0;1;0;0;0;1;0;1;0;1;1;2;7;2023;Capital;São Paulo;019 DP - Vila Maria
ESTUPRO DE VULNERÁVEL;0;0;0;2;0;0;0;0;1;0;3;0;6;2023;Capital;São Paulo;019 DP - Vila Maria
TOTAL DE ROUBO - OUTROS (1);89;46;63;69;66;58;57;56;52;77;91;63;787;2023;Capital;São Paulo;019 DP - Vila Maria
ROUBO - OUTROS;85;45;58;67;64;57;56;56;51;76;88;61;764;2023;Capital;São Paulo;019 DP - Vila Maria
ROUBO DE VEÍCULO;7;7;9;12;7;13;5;8;12;7;7;6;100;2023;Capital;São Paulo;019 DP - Vila Maria
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;019 DP - Vila Maria
ROUBO DE CARGA;4;1;5;2;2;1;1;0;1;1;3;2;23;2023;Capital;São Paulo;019 DP - Vila Maria
FURTO - OUTROS;109;103;149;114;136;134;156;124;134;169;184;114;1.626;2023;Capital;São Paulo;019 DP - Vila Maria
FURTO DE VEÍCULO;15;25;29;21;31;24;19;32;44;35;20;24;319;2023;Capital;São Paulo;019 DP - Vila Maria
