Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;01 DP Pessoa com Deficiência
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;01 DP Pessoa com Deficiência
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;01 DP Pessoa com Deficiência
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;01 DP Pessoa com Deficiência
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;01 DP Pessoa com Deficiência
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;01 DP Pessoa com Deficiência
TENTATIVA DE HOMICÍDIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;01 DP Pessoa com Deficiência
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;01 DP Pessoa com Deficiência
LESÃO CORPORAL DOLOSA;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;01 DP Pessoa com Deficiência
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;01 DP Pessoa com Deficiência
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;01 DP Pessoa com Deficiência
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;01 DP Pessoa com Deficiência
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;01 DP Pessoa com Deficiência
TOTAL DE ESTUPRO (4);0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;01 DP Pessoa com Deficiência
ESTUPRO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;01 DP Pessoa com Deficiência
ESTUPRO DE VULNERÁVEL;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;01 DP Pessoa com Deficiência
TOTAL DE ROUBO - OUTROS (1);0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;01 DP Pessoa com Deficiência
ROUBO - OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;01 DP Pessoa com Deficiência
ROUBO DE VEÍCULO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;01 DP Pessoa com Deficiência
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;01 DP Pessoa com Deficiência
ROUBO DE CARGA;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;01 DP Pessoa com Deficiência
FURTO - OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;01 DP Pessoa com Deficiência
FURTO DE VEÍCULO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;01 DP Pessoa com Deficiência
