Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);0;1;0;2;0;2;0;0;0;0;3;0;8;2023;Capital;São Paulo;020 DP - Água Fria
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;1;0;2;0;2;0;0;0;0;4;0;9;2023;Capital;São Paulo;020 DP - Água Fria
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;020 DP - Água Fria
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;020 DP - Água Fria
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;1;1;0;2;0;0;1;1;0;6;2023;Capital;São Paulo;020 DP - Água Fria
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;020 DP - Água Fria
TENTATIVA DE HOMICÍDIO;0;1;0;0;0;0;0;0;0;0;0;0;1;2023;Capital;São Paulo;020 DP - Água Fria
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;1;1;2023;Capital;São Paulo;020 DP - Água Fria
LESÃO CORPORAL DOLOSA;28;30;36;47;27;25;30;31;43;40;35;35;407;2023;Capital;São Paulo;020 DP - Água Fria
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;18;17;18;9;24;19;16;14;22;22;17;12;208;2023;Capital;São Paulo;020 DP - Água Fria
LESÃO CORPORAL CULPOSA - OUTRAS;0;1;2;1;1;0;0;3;1;1;1;2;13;2023;Capital;São Paulo;020 DP - Água Fria
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;020 DP - Água Fria
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;020 DP - Água Fria
TOTAL DE ESTUPRO (4);1;3;4;3;0;3;1;1;2;1;5;1;25;2023;Capital;São Paulo;020 DP - Água Fria
ESTUPRO;1;1;1;0;0;1;1;0;0;0;0;0;5;2023;Capital;São Paulo;020 DP - Água Fria
ESTUPRO DE VULNERÁVEL;0;2;3;3;0;2;0;1;2;1;5;1;20;2023;Capital;São Paulo;020 DP - Água Fria
TOTAL DE ROUBO - OUTROS (1);64;64;57;52;41;39;49;45;43;59;51;67;631;2023;Capital;São Paulo;020 DP - Água Fria
ROUBO - OUTROS;64;62;56;49;40;38;49;45;43;59;47;66;618;2023;Capital;São Paulo;020 DP - Água Fria
ROUBO DE VEÍCULO;6;11;10;8;7;8;5;4;5;10;10;7;91;2023;Capital;São Paulo;020 DP - Água Fria
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;020 DP - Água Fria
ROUBO DE CARGA;0;2;1;3;1;1;0;0;0;0;4;1;13;2023;Capital;São Paulo;020 DP - Água Fria
FURTO - OUTROS;125;92;143;133;141;154;127;154;128;143;145;129;1.614;2023;Capital;São Paulo;020 DP - Água Fria
FURTO DE VEÍCULO;38;29;39;26;35;32;26;19;29;37;24;25;359;2023;Capital;São Paulo;020 DP - Água Fria
