Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);0;0;1;0;0;0;0;0;0;1;0;1;3;2023;Capital;São Paulo;021 DP - Vila Matilde
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;1;0;0;0;0;0;0;1;0;1;3;2023;Capital;São Paulo;021 DP - Vila Matilde
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;021 DP - Vila Matilde
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;021 DP - Vila Matilde
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;1;1;2;0;1;0;1;1;1;0;0;3;11;2023;Capital;São Paulo;021 DP - Vila Matilde
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;021 DP - Vila Matilde
TENTATIVA DE HOMICÍDIO;0;0;1;0;0;1;0;0;0;0;1;0;3;2023;Capital;São Paulo;021 DP - Vila Matilde
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;021 DP - Vila Matilde
LESÃO CORPORAL DOLOSA;32;24;24;28;24;20;19;33;20;39;28;27;318;2023;Capital;São Paulo;021 DP - Vila Matilde
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;10;6;16;10;10;20;10;10;15;8;10;12;137;2023;Capital;São Paulo;021 DP - Vila Matilde
LESÃO CORPORAL CULPOSA - OUTRAS;1;0;0;3;1;1;0;0;3;1;1;3;14;2023;Capital;São Paulo;021 DP - Vila Matilde
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;021 DP - Vila Matilde
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;021 DP - Vila Matilde
TOTAL DE ESTUPRO (4);1;2;5;1;1;1;2;2;4;3;4;3;29;2023;Capital;São Paulo;021 DP - Vila Matilde
ESTUPRO;0;1;1;0;1;0;2;1;1;1;2;0;10;2023;Capital;São Paulo;021 DP - Vila Matilde
ESTUPRO DE VULNERÁVEL;1;1;4;1;0;1;0;1;3;2;2;3;19;2023;Capital;São Paulo;021 DP - Vila Matilde
TOTAL DE ROUBO - OUTROS (1);76;94;91;88;70;71;66;60;91;89;65;66;927;2023;Capital;São Paulo;021 DP - Vila Matilde
ROUBO - OUTROS;74;93;91;88;68;69;65;60;89;87;65;66;915;2023;Capital;São Paulo;021 DP - Vila Matilde
ROUBO DE VEÍCULO;14;15;15;18;14;8;13;20;19;26;15;11;188;2023;Capital;São Paulo;021 DP - Vila Matilde
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;021 DP - Vila Matilde
ROUBO DE CARGA;2;1;0;0;2;2;1;0;2;2;0;0;12;2023;Capital;São Paulo;021 DP - Vila Matilde
FURTO - OUTROS;123;89;154;136;113;130;131;125;105;113;105;114;1.438;2023;Capital;São Paulo;021 DP - Vila Matilde
FURTO DE VEÍCULO;61;66;87;78;83;59;79;69;69;81;73;64;869;2023;Capital;São Paulo;021 DP - Vila Matilde
