Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);1;0;0;0;0;1;0;0;0;0;0;1;3;2023;Capital;São Paulo;022 DP - São Miguel Paulista
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);1;0;0;0;0;1;0;0;0;0;0;1;3;2023;Capital;São Paulo;022 DP - São Miguel Paulista
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;022 DP - São Miguel Paulista
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;022 DP - São Miguel Paulista
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;2;0;0;1;0;0;2;1;0;0;0;1;7;2023;Capital;São Paulo;022 DP - São Miguel Paulista
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;022 DP - São Miguel Paulista
TENTATIVA DE HOMICÍDIO;1;2;1;0;0;1;2;1;0;0;0;1;9;2023;Capital;São Paulo;022 DP - São Miguel Paulista
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;022 DP - São Miguel Paulista
LESÃO CORPORAL DOLOSA;21;25;33;27;32;25;27;28;24;31;30;32;335;2023;Capital;São Paulo;022 DP - São Miguel Paulista
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;11;6;9;11;9;11;9;12;11;17;17;12;135;2023;Capital;São Paulo;022 DP - São Miguel Paulista
LESÃO CORPORAL CULPOSA - OUTRAS;2;0;0;1;0;0;0;0;0;1;0;1;5;2023;Capital;São Paulo;022 DP - São Miguel Paulista
LATROCÍNIO;0;0;0;0;0;0;0;0;1;0;0;0;1;2023;Capital;São Paulo;022 DP - São Miguel Paulista
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;1;0;0;0;1;2023;Capital;São Paulo;022 DP - São Miguel Paulista
TOTAL DE ESTUPRO (4);3;2;4;3;2;0;2;1;1;5;2;3;28;2023;Capital;São Paulo;022 DP - São Miguel Paulista
ESTUPRO;2;1;0;0;1;0;0;0;0;2;0;1;7;2023;Capital;São Paulo;022 DP - São Miguel Paulista
ESTUPRO DE VULNERÁVEL;1;1;4;3;1;0;2;1;1;3;2;2;21;2023;Capital;São Paulo;022 DP - São Miguel Paulista
TOTAL DE ROUBO - OUTROS (1);100;80;116;98;109;91;86;102;86;99;98;109;1.174;2023;Capital;São Paulo;022 DP - São Miguel Paulista
ROUBO - OUTROS;100;79;114;97;108;89;84;101;86;98;97;109;1.162;2023;Capital;São Paulo;022 DP - São Miguel Paulista
ROUBO DE VEÍCULO;11;1;18;12;13;13;10;10;4;6;11;7;116;2023;Capital;São Paulo;022 DP - São Miguel Paulista
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;022 DP - São Miguel Paulista
ROUBO DE CARGA;0;1;2;1;1;2;2;1;0;1;1;0;12;2023;Capital;São Paulo;022 DP - São Miguel Paulista
FURTO - OUTROS;174;167;220;192;230;206;212;200;189;242;242;284;2.558;2023;Capital;São Paulo;022 DP - São Miguel Paulista
FURTO DE VEÍCULO;33;22;31;16;18;28;24;18;20;43;33;35;321;2023;Capital;São Paulo;022 DP - São Miguel Paulista
