Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);1;0;0;2;1;0;3;0;0;0;0;2;9;2023;Capital;São Paulo;023 DP - Perdizes
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);1;0;0;2;1;0;3;0;0;0;0;2;9;2023;Capital;São Paulo;023 DP - Perdizes
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;023 DP - Perdizes
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;023 DP - Perdizes
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;1;1;0;0;0;0;0;0;1;1;4;2023;Capital;São Paulo;023 DP - Perdizes
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;1;0;0;0;0;0;1;2023;Capital;São Paulo;023 DP - Perdizes
TENTATIVA DE HOMICÍDIO;0;0;1;0;1;1;0;1;0;0;0;1;5;2023;Capital;São Paulo;023 DP - Perdizes
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;023 DP - Perdizes
LESÃO CORPORAL DOLOSA;27;37;24;29;30;29;19;29;27;42;43;46;382;2023;Capital;São Paulo;023 DP - Perdizes
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;13;21;13;5;10;16;8;18;6;13;21;18;162;2023;Capital;São Paulo;023 DP - Perdizes
LESÃO CORPORAL CULPOSA - OUTRAS;1;1;1;1;3;2;0;0;1;1;2;2;15;2023;Capital;São Paulo;023 DP - Perdizes
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;023 DP - Perdizes
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;023 DP - Perdizes
TOTAL DE ESTUPRO (4);1;3;1;0;2;2;1;0;1;0;1;0;12;2023;Capital;São Paulo;023 DP - Perdizes
ESTUPRO;0;1;0;0;0;1;1;0;0;0;0;0;3;2023;Capital;São Paulo;023 DP - Perdizes
ESTUPRO DE VULNERÁVEL;1;2;1;0;2;1;0;0;1;0;1;0;9;2023;Capital;São Paulo;023 DP - Perdizes
TOTAL DE ROUBO - OUTROS (1);212;200;209;204;244;203;201;248;204;247;251;275;2.698;2023;Capital;São Paulo;023 DP - Perdizes
ROUBO - OUTROS;211;199;208;204;244;203;199;246;203;245;251;274;2.687;2023;Capital;São Paulo;023 DP - Perdizes
ROUBO DE VEÍCULO;3;6;11;9;3;7;6;4;4;4;8;12;77;2023;Capital;São Paulo;023 DP - Perdizes
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;023 DP - Perdizes
ROUBO DE CARGA;1;1;1;0;0;0;2;2;1;2;0;1;11;2023;Capital;São Paulo;023 DP - Perdizes
FURTO - OUTROS;715;787;772;736;837;751;700;783;653;883;946;1.011;9.574;2023;Capital;São Paulo;023 DP - Perdizes
FURTO DE VEÍCULO;84;94;142;79;86;75;77;96;88;72;86;67;1.046;2023;Capital;São Paulo;023 DP - Perdizes
