Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);2;0;0;0;0;1;0;0;2;1;1;3;10;2023;Capital;São Paulo;025 DP - Parelheiros
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);2;0;0;0;0;1;0;0;2;1;1;3;10;2023;Capital;São Paulo;025 DP - Parelheiros
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;025 DP - Parelheiros
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;025 DP - Parelheiros
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;2;0;2;0;0;1;4;0;3;4;2;2;20;2023;Capital;São Paulo;025 DP - Parelheiros
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;025 DP - Parelheiros
TENTATIVA DE HOMICÍDIO;3;1;1;2;1;1;1;1;5;0;0;1;17;2023;Capital;São Paulo;025 DP - Parelheiros
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;025 DP - Parelheiros
LESÃO CORPORAL DOLOSA;65;46;58;40;52;41;56;51;73;61;75;64;682;2023;Capital;São Paulo;025 DP - Parelheiros
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;13;8;21;15;22;26;13;18;29;20;25;19;229;2023;Capital;São Paulo;025 DP - Parelheiros
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;1;2;1;1;1;1;1;0;0;1;9;2023;Capital;São Paulo;025 DP - Parelheiros
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;025 DP - Parelheiros
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;025 DP - Parelheiros
TOTAL DE ESTUPRO (4);6;8;9;11;11;10;7;11;6;5;8;5;97;2023;Capital;São Paulo;025 DP - Parelheiros
ESTUPRO;2;1;2;1;2;0;3;0;1;1;1;1;15;2023;Capital;São Paulo;025 DP - Parelheiros
ESTUPRO DE VULNERÁVEL;4;7;7;10;9;10;4;11;5;4;7;4;82;2023;Capital;São Paulo;025 DP - Parelheiros
TOTAL DE ROUBO - OUTROS (1);103;72;81;81;125;87;106;84;108;115;102;86;1.150;2023;Capital;São Paulo;025 DP - Parelheiros
ROUBO - OUTROS;92;69;74;74;112;80;99;80;100;110;96;83;1.069;2023;Capital;São Paulo;025 DP - Parelheiros
ROUBO DE VEÍCULO;18;24;29;22;21;26;14;26;25;33;29;23;290;2023;Capital;São Paulo;025 DP - Parelheiros
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;025 DP - Parelheiros
ROUBO DE CARGA;11;3;7;7;13;7;7;4;8;5;6;3;81;2023;Capital;São Paulo;025 DP - Parelheiros
FURTO - OUTROS;90;73;87;93;139;108;143;120;103;117;128;113;1.314;2023;Capital;São Paulo;025 DP - Parelheiros
FURTO DE VEÍCULO;10;10;16;13;12;9;8;15;13;10;15;18;149;2023;Capital;São Paulo;025 DP - Parelheiros
