Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;026 DP - Sacomã
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;026 DP - Sacomã
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;026 DP - Sacomã
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;026 DP - Sacomã
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;1;1;0;0;0;0;0;0;0;0;1;3;2023;Capital;São Paulo;026 DP - Sacomã
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;026 DP - Sacomã
TENTATIVA DE HOMICÍDIO;2;1;1;0;0;0;0;1;1;0;0;0;6;2023;Capital;São Paulo;026 DP - Sacomã
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;026 DP - Sacomã
LESÃO CORPORAL DOLOSA;13;23;19;15;15;21;15;13;21;18;25;17;215;2023;Capital;São Paulo;026 DP - Sacomã
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;6;13;5;2;6;8;3;7;4;3;2;4;63;2023;Capital;São Paulo;026 DP - Sacomã
LESÃO CORPORAL CULPOSA - OUTRAS;1;1;0;0;0;0;1;0;0;0;0;0;3;2023;Capital;São Paulo;026 DP - Sacomã
LATROCÍNIO;1;0;0;0;0;0;0;0;0;0;0;0;1;2023;Capital;São Paulo;026 DP - Sacomã
Nº DE VÍTIMAS EM LATROCÍNIO;1;0;0;0;0;0;0;0;0;0;0;0;1;2023;Capital;São Paulo;026 DP - Sacomã
TOTAL DE ESTUPRO (4);0;0;1;2;0;1;1;0;1;0;2;0;8;2023;Capital;São Paulo;026 DP - Sacomã
ESTUPRO;0;0;0;1;0;0;0;0;0;0;0;0;1;2023;Capital;São Paulo;026 DP - Sacomã
ESTUPRO DE VULNERÁVEL;0;0;1;1;0;1;1;0;1;0;2;0;7;2023;Capital;São Paulo;026 DP - Sacomã
TOTAL DE ROUBO - OUTROS (1);49;46;47;50;36;40;56;46;45;41;30;35;521;2023;Capital;São Paulo;026 DP - Sacomã
ROUBO - OUTROS;48;44;47;50;36;40;55;45;45;40;27;34;511;2023;Capital;São Paulo;026 DP - Sacomã
ROUBO DE VEÍCULO;10;8;16;8;9;11;9;7;6;7;6;13;110;2023;Capital;São Paulo;026 DP - Sacomã
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;026 DP - Sacomã
ROUBO DE CARGA;1;2;0;0;0;0;1;1;0;1;3;1;10;2023;Capital;São Paulo;026 DP - Sacomã
FURTO - OUTROS;78;68;87;88;75;82;77;98;93;82;93;91;1.012;2023;Capital;São Paulo;026 DP - Sacomã
FURTO DE VEÍCULO;17;18;19;25;26;21;19;34;10;17;14;18;238;2023;Capital;São Paulo;026 DP - Sacomã
