Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);0;1;0;0;0;0;2;1;0;0;0;0;4;2023;Capital;São Paulo;027 DP - Campo Belo
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;1;0;0;0;0;2;1;0;0;0;0;4;2023;Capital;São Paulo;027 DP - Campo Belo
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;027 DP - Campo Belo
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;027 DP - Campo Belo
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;1;0;1;1;0;1;0;1;0;1;3;1;10;2023;Capital;São Paulo;027 DP - Campo Belo
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;1;0;0;0;0;0;1;2023;Capital;São Paulo;027 DP - Campo Belo
TENTATIVA DE HOMICÍDIO;0;1;0;0;0;0;0;0;0;0;0;0;1;2023;Capital;São Paulo;027 DP - Campo Belo
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;027 DP - Campo Belo
LESÃO CORPORAL DOLOSA;12;33;24;15;30;22;16;22;26;25;21;25;271;2023;Capital;São Paulo;027 DP - Campo Belo
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;21;18;23;22;17;15;11;21;25;28;24;28;253;2023;Capital;São Paulo;027 DP - Campo Belo
LESÃO CORPORAL CULPOSA - OUTRAS;0;1;0;0;2;2;2;0;0;1;0;1;9;2023;Capital;São Paulo;027 DP - Campo Belo
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;027 DP - Campo Belo
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;027 DP - Campo Belo
TOTAL DE ESTUPRO (4);0;3;3;2;1;1;1;1;2;2;3;0;19;2023;Capital;São Paulo;027 DP - Campo Belo
ESTUPRO;0;2;2;1;0;1;0;0;1;2;2;0;11;2023;Capital;São Paulo;027 DP - Campo Belo
ESTUPRO DE VULNERÁVEL;0;1;1;1;1;0;1;1;1;0;1;0;8;2023;Capital;São Paulo;027 DP - Campo Belo
TOTAL DE ROUBO - OUTROS (1);161;135;175;148;160;146;131;155;140;162;162;153;1.828;2023;Capital;São Paulo;027 DP - Campo Belo
ROUBO - OUTROS;158;134;172;147;160;146;130;153;137;159;158;153;1.807;2023;Capital;São Paulo;027 DP - Campo Belo
ROUBO DE VEÍCULO;18;24;22;28;29;21;21;12;16;28;21;21;261;2023;Capital;São Paulo;027 DP - Campo Belo
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;027 DP - Campo Belo
ROUBO DE CARGA;3;1;3;1;0;0;1;2;3;3;4;0;21;2023;Capital;São Paulo;027 DP - Campo Belo
FURTO - OUTROS;248;226;310;274;355;352;349;343;270;261;274;256;3.518;2023;Capital;São Paulo;027 DP - Campo Belo
FURTO DE VEÍCULO;20;19;29;24;29;23;24;34;19;45;38;20;324;2023;Capital;São Paulo;027 DP - Campo Belo
