Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);0;0;1;0;0;0;0;0;1;0;1;0;3;2023;Capital;São Paulo;028 DP - Freguesia do Ó
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;2;0;0;0;0;0;1;0;1;0;4;2023;Capital;São Paulo;028 DP - Freguesia do Ó
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;028 DP - Freguesia do Ó
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;028 DP - Freguesia do Ó
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;1;0;1;0;2;0;0;0;1;2;0;2;9;2023;Capital;São Paulo;028 DP - Freguesia do Ó
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;028 DP - Freguesia do Ó
TENTATIVA DE HOMICÍDIO;0;0;2;0;0;1;0;0;0;0;2;0;5;2023;Capital;São Paulo;028 DP - Freguesia do Ó
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;028 DP - Freguesia do Ó
LESÃO CORPORAL DOLOSA;25;22;28;30;39;26;25;34;34;31;27;43;364;2023;Capital;São Paulo;028 DP - Freguesia do Ó
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;12;16;12;11;13;7;16;12;11;10;15;21;156;2023;Capital;São Paulo;028 DP - Freguesia do Ó
LESÃO CORPORAL CULPOSA - OUTRAS;1;0;1;0;1;1;1;0;1;0;1;0;7;2023;Capital;São Paulo;028 DP - Freguesia do Ó
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;028 DP - Freguesia do Ó
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;028 DP - Freguesia do Ó
TOTAL DE ESTUPRO (4);1;2;1;2;6;0;3;3;3;2;0;3;26;2023;Capital;São Paulo;028 DP - Freguesia do Ó
ESTUPRO;0;0;1;1;5;0;0;0;0;1;0;2;10;2023;Capital;São Paulo;028 DP - Freguesia do Ó
ESTUPRO DE VULNERÁVEL;1;2;0;1;1;0;3;3;3;1;0;1;16;2023;Capital;São Paulo;028 DP - Freguesia do Ó
TOTAL DE ROUBO - OUTROS (1);84;79;139;107;122;89;114;123;98;125;104;107;1.291;2023;Capital;São Paulo;028 DP - Freguesia do Ó
ROUBO - OUTROS;80;79;135;107;113;87;113;122;97;122;101;105;1.261;2023;Capital;São Paulo;028 DP - Freguesia do Ó
ROUBO DE VEÍCULO;11;8;21;4;4;11;10;10;9;13;9;12;122;2023;Capital;São Paulo;028 DP - Freguesia do Ó
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;028 DP - Freguesia do Ó
ROUBO DE CARGA;4;0;4;0;9;2;1;1;1;3;3;2;30;2023;Capital;São Paulo;028 DP - Freguesia do Ó
FURTO - OUTROS;135;126;149;149;224;177;188;184;191;220;170;206;2.119;2023;Capital;São Paulo;028 DP - Freguesia do Ó
FURTO DE VEÍCULO;35;41;31;24;51;42;39;47;38;44;25;21;438;2023;Capital;São Paulo;028 DP - Freguesia do Ó
