Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;029 DP - Vila Diva
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;029 DP - Vila Diva
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;029 DP - Vila Diva
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;029 DP - Vila Diva
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;1;0;0;1;0;0;0;0;0;0;2;2023;Capital;São Paulo;029 DP - Vila Diva
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;029 DP - Vila Diva
TENTATIVA DE HOMICÍDIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;029 DP - Vila Diva
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;029 DP - Vila Diva
LESÃO CORPORAL DOLOSA;13;11;18;16;10;8;13;15;20;10;14;10;158;2023;Capital;São Paulo;029 DP - Vila Diva
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;6;6;5;4;2;9;10;5;5;4;5;7;68;2023;Capital;São Paulo;029 DP - Vila Diva
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;1;0;0;0;0;0;0;0;0;0;1;2023;Capital;São Paulo;029 DP - Vila Diva
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;029 DP - Vila Diva
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;029 DP - Vila Diva
TOTAL DE ESTUPRO (4);0;2;0;1;0;0;1;1;0;0;3;0;8;2023;Capital;São Paulo;029 DP - Vila Diva
ESTUPRO;0;1;0;0;0;0;0;1;0;0;2;0;4;2023;Capital;São Paulo;029 DP - Vila Diva
ESTUPRO DE VULNERÁVEL;0;1;0;1;0;0;1;0;0;0;1;0;4;2023;Capital;São Paulo;029 DP - Vila Diva
TOTAL DE ROUBO - OUTROS (1);37;27;46;33;23;36;17;28;29;21;33;32;362;2023;Capital;São Paulo;029 DP - Vila Diva
ROUBO - OUTROS;37;27;46;33;23;35;17;28;28;21;32;32;359;2023;Capital;São Paulo;029 DP - Vila Diva
ROUBO DE VEÍCULO;5;5;8;6;8;4;7;7;7;6;9;9;81;2023;Capital;São Paulo;029 DP - Vila Diva
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;1;0;1;2023;Capital;São Paulo;029 DP - Vila Diva
ROUBO DE CARGA;0;0;0;0;0;1;0;0;1;0;0;0;2;2023;Capital;São Paulo;029 DP - Vila Diva
FURTO - OUTROS;65;50;67;51;57;60;55;71;72;87;65;65;765;2023;Capital;São Paulo;029 DP - Vila Diva
FURTO DE VEÍCULO;74;58;66;70;82;65;67;85;65;70;74;55;831;2023;Capital;São Paulo;029 DP - Vila Diva
