Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);0;0;0;0;0;0;0;0;0;1;0;0;1;2023;Capital;São Paulo;030 DP - Tatuapé
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;0;0;0;0;0;1;0;0;1;2023;Capital;São Paulo;030 DP - Tatuapé
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;030 DP - Tatuapé
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;030 DP - Tatuapé
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;2;0;1;0;1;0;1;0;0;0;0;2;7;2023;Capital;São Paulo;030 DP - Tatuapé
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;030 DP - Tatuapé
TENTATIVA DE HOMICÍDIO;0;0;0;0;0;0;0;0;0;0;0;1;1;2023;Capital;São Paulo;030 DP - Tatuapé
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;1;0;0;0;0;0;0;0;0;1;2023;Capital;São Paulo;030 DP - Tatuapé
LESÃO CORPORAL DOLOSA;20;25;23;23;16;33;22;22;20;18;23;20;265;2023;Capital;São Paulo;030 DP - Tatuapé
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;12;14;13;11;24;15;11;14;18;19;17;16;184;2023;Capital;São Paulo;030 DP - Tatuapé
LESÃO CORPORAL CULPOSA - OUTRAS;1;1;1;1;0;0;0;4;2;1;1;2;14;2023;Capital;São Paulo;030 DP - Tatuapé
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;030 DP - Tatuapé
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;030 DP - Tatuapé
TOTAL DE ESTUPRO (4);1;1;0;2;2;1;0;2;2;1;2;0;14;2023;Capital;São Paulo;030 DP - Tatuapé
ESTUPRO;0;1;0;0;2;0;0;1;0;0;1;0;5;2023;Capital;São Paulo;030 DP - Tatuapé
ESTUPRO DE VULNERÁVEL;1;0;0;2;0;1;0;1;2;1;1;0;9;2023;Capital;São Paulo;030 DP - Tatuapé
TOTAL DE ROUBO - OUTROS (1);136;106;133;102;90;76;85;74;82;94;74;78;1.130;2023;Capital;São Paulo;030 DP - Tatuapé
ROUBO - OUTROS;135;105;130;99;90;76;85;74;80;93;72;77;1.116;2023;Capital;São Paulo;030 DP - Tatuapé
ROUBO DE VEÍCULO;9;15;23;16;19;7;13;7;9;13;9;17;157;2023;Capital;São Paulo;030 DP - Tatuapé
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;030 DP - Tatuapé
ROUBO DE CARGA;1;1;3;3;0;0;0;0;2;1;2;1;14;2023;Capital;São Paulo;030 DP - Tatuapé
FURTO - OUTROS;229;208;240;221;237;247;258;293;247;262;241;246;2.929;2023;Capital;São Paulo;030 DP - Tatuapé
FURTO DE VEÍCULO;121;117;145;110;123;137;133;120;109;126;131;93;1.465;2023;Capital;São Paulo;030 DP - Tatuapé
