Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);0;0;0;0;1;0;0;0;0;0;0;0;1;2023;Capital;São Paulo;032 DP - Itaquera
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;1;0;0;0;0;0;0;0;1;2023;Capital;São Paulo;032 DP - Itaquera
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;032 DP - Itaquera
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;032 DP - Itaquera
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;1;0;0;0;0;0;1;0;2;2023;Capital;São Paulo;032 DP - Itaquera
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;032 DP - Itaquera
TENTATIVA DE HOMICÍDIO;0;0;0;0;1;0;0;1;0;1;2;2;7;2023;Capital;São Paulo;032 DP - Itaquera
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;032 DP - Itaquera
LESÃO CORPORAL DOLOSA;20;26;38;31;34;24;28;30;27;32;35;39;364;2023;Capital;São Paulo;032 DP - Itaquera
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;8;9;8;5;10;10;12;9;8;8;8;10;105;2023;Capital;São Paulo;032 DP - Itaquera
LESÃO CORPORAL CULPOSA - OUTRAS;0;1;1;0;3;1;0;0;0;1;0;1;8;2023;Capital;São Paulo;032 DP - Itaquera
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;032 DP - Itaquera
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;032 DP - Itaquera
TOTAL DE ESTUPRO (4);1;7;3;1;3;1;4;2;0;2;0;3;27;2023;Capital;São Paulo;032 DP - Itaquera
ESTUPRO;0;1;0;0;2;1;2;0;0;0;0;3;9;2023;Capital;São Paulo;032 DP - Itaquera
ESTUPRO DE VULNERÁVEL;1;6;3;1;1;0;2;2;0;2;0;0;18;2023;Capital;São Paulo;032 DP - Itaquera
TOTAL DE ROUBO - OUTROS (1);83;96;77;58;84;63;66;80;83;100;85;91;966;2023;Capital;São Paulo;032 DP - Itaquera
ROUBO - OUTROS;82;94;77;58;83;62;66;80;80;100;82;90;954;2023;Capital;São Paulo;032 DP - Itaquera
ROUBO DE VEÍCULO;17;15;10;12;13;14;16;11;11;14;16;23;172;2023;Capital;São Paulo;032 DP - Itaquera
ROUBO A BANCO;0;0;0;0;0;1;0;0;0;0;0;0;1;2023;Capital;São Paulo;032 DP - Itaquera
ROUBO DE CARGA;1;2;0;0;1;0;0;0;3;0;3;1;11;2023;Capital;São Paulo;032 DP - Itaquera
FURTO - OUTROS;100;83;122;119;121;116;122;137;136;105;93;130;1.384;2023;Capital;São Paulo;032 DP - Itaquera
FURTO DE VEÍCULO;39;31;35;41;44;34;50;46;38;44;67;49;518;2023;Capital;São Paulo;032 DP - Itaquera
