Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);1;0;0;1;0;1;0;1;0;0;0;1;5;2023;Capital;São Paulo;033 DP - Pirituba
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);1;0;0;1;0;1;0;1;0;0;0;1;5;2023;Capital;São Paulo;033 DP - Pirituba
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;1;1;2023;Capital;São Paulo;033 DP - Pirituba
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;1;1;2023;Capital;São Paulo;033 DP - Pirituba
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;2;3;1;1;0;0;2;1;0;2;1;13;2023;Capital;São Paulo;033 DP - Pirituba
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;033 DP - Pirituba
TENTATIVA DE HOMICÍDIO;0;0;0;2;1;0;0;1;0;0;0;0;4;2023;Capital;São Paulo;033 DP - Pirituba
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;033 DP - Pirituba
LESÃO CORPORAL DOLOSA;26;24;25;29;25;26;22;25;25;39;33;30;329;2023;Capital;São Paulo;033 DP - Pirituba
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;18;16;15;15;13;20;10;9;19;10;23;16;184;2023;Capital;São Paulo;033 DP - Pirituba
LESÃO CORPORAL CULPOSA - OUTRAS;2;0;0;2;2;1;0;0;3;0;0;0;10;2023;Capital;São Paulo;033 DP - Pirituba
LATROCÍNIO;0;1;0;0;0;0;0;0;0;0;0;0;1;2023;Capital;São Paulo;033 DP - Pirituba
Nº DE VÍTIMAS EM LATROCÍNIO;0;1;0;0;0;0;0;0;0;0;0;0;1;2023;Capital;São Paulo;033 DP - Pirituba
TOTAL DE ESTUPRO (4);2;3;2;0;5;2;1;4;2;2;0;2;25;2023;Capital;São Paulo;033 DP - Pirituba
ESTUPRO;0;0;2;0;1;1;0;1;1;2;0;0;8;2023;Capital;São Paulo;033 DP - Pirituba
ESTUPRO DE VULNERÁVEL;2;3;0;0;4;1;1;3;1;0;0;2;17;2023;Capital;São Paulo;033 DP - Pirituba
TOTAL DE ROUBO - OUTROS (1);77;81;94;67;63;56;47;60;65;73;68;65;816;2023;Capital;São Paulo;033 DP - Pirituba
ROUBO - OUTROS;68;75;85;63;59;47;44;54;61;64;62;59;741;2023;Capital;São Paulo;033 DP - Pirituba
ROUBO DE VEÍCULO;15;15;26;23;27;19;14;37;21;19;23;11;250;2023;Capital;São Paulo;033 DP - Pirituba
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;033 DP - Pirituba
ROUBO DE CARGA;9;6;9;4;4;9;3;6;4;9;6;6;75;2023;Capital;São Paulo;033 DP - Pirituba
FURTO - OUTROS;104;107;110;102;133;128;152;126;137;112;125;118;1.454;2023;Capital;São Paulo;033 DP - Pirituba
FURTO DE VEÍCULO;58;45;46;53;59;50;56;50;50;51;53;27;598;2023;Capital;São Paulo;033 DP - Pirituba
