Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);0;0;1;1;0;0;0;0;1;0;0;1;4;2023;Capital;São Paulo;034 DP - Vila Sonia
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;1;1;0;0;0;0;1;0;0;1;4;2023;Capital;São Paulo;034 DP - Vila Sonia
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;034 DP - Vila Sonia
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;034 DP - Vila Sonia
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;1;1;1;2;1;1;1;2;1;2;0;1;14;2023;Capital;São Paulo;034 DP - Vila Sonia
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;034 DP - Vila Sonia
TENTATIVA DE HOMICÍDIO;2;2;2;1;1;2;0;0;1;0;0;0;11;2023;Capital;São Paulo;034 DP - Vila Sonia
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;034 DP - Vila Sonia
LESÃO CORPORAL DOLOSA;20;19;19;20;27;17;12;22;18;27;28;27;256;2023;Capital;São Paulo;034 DP - Vila Sonia
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;7;10;23;28;20;29;25;16;10;26;12;18;224;2023;Capital;São Paulo;034 DP - Vila Sonia
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;2;0;1;0;1;2;1;0;0;1;8;2023;Capital;São Paulo;034 DP - Vila Sonia
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;1;0;1;2023;Capital;São Paulo;034 DP - Vila Sonia
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;1;0;1;2023;Capital;São Paulo;034 DP - Vila Sonia
TOTAL DE ESTUPRO (4);1;3;0;2;0;2;2;1;1;3;2;3;20;2023;Capital;São Paulo;034 DP - Vila Sonia
ESTUPRO;0;2;0;0;0;1;2;0;0;1;0;0;6;2023;Capital;São Paulo;034 DP - Vila Sonia
ESTUPRO DE VULNERÁVEL;1;1;0;2;0;1;0;1;1;2;2;3;14;2023;Capital;São Paulo;034 DP - Vila Sonia
TOTAL DE ROUBO - OUTROS (1);102;105;154;132;142;143;131;112;147;117;150;111;1.546;2023;Capital;São Paulo;034 DP - Vila Sonia
ROUBO - OUTROS;100;103;150;131;142;140;131;108;144;116;146;110;1.521;2023;Capital;São Paulo;034 DP - Vila Sonia
ROUBO DE VEÍCULO;10;14;15;20;18;13;8;13;13;7;20;19;170;2023;Capital;São Paulo;034 DP - Vila Sonia
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;034 DP - Vila Sonia
ROUBO DE CARGA;2;2;4;1;0;3;0;4;3;1;4;1;25;2023;Capital;São Paulo;034 DP - Vila Sonia
FURTO - OUTROS;173;192;404;186;186;194;282;536;879;202;390;170;3.794;2023;Capital;São Paulo;034 DP - Vila Sonia
FURTO DE VEÍCULO;26;45;49;41;36;40;39;54;32;36;39;38;475;2023;Capital;São Paulo;034 DP - Vila Sonia
