Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);0;0;0;0;0;0;0;0;0;1;0;0;1;2023;Capital;São Paulo;035 DP - Jabaquara
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;0;0;0;0;0;1;0;0;1;2023;Capital;São Paulo;035 DP - Jabaquara
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;035 DP - Jabaquara
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;035 DP - Jabaquara
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;2;0;1;0;1;1;0;0;0;0;0;5;2023;Capital;São Paulo;035 DP - Jabaquara
HOMICÍDIO CULPOSO OUTROS;0;0;0;1;0;0;0;0;0;0;0;0;1;2023;Capital;São Paulo;035 DP - Jabaquara
TENTATIVA DE HOMICÍDIO;0;0;0;1;1;2;0;0;0;0;1;0;5;2023;Capital;São Paulo;035 DP - Jabaquara
LESÃO CORPORAL SEGUIDA DE MORTE;1;0;0;0;0;0;0;0;0;0;0;0;1;2023;Capital;São Paulo;035 DP - Jabaquara
LESÃO CORPORAL DOLOSA;32;26;23;39;32;30;27;37;31;38;36;39;390;2023;Capital;São Paulo;035 DP - Jabaquara
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;11;13;12;12;15;18;19;16;18;20;23;16;193;2023;Capital;São Paulo;035 DP - Jabaquara
LESÃO CORPORAL CULPOSA - OUTRAS;3;0;1;1;0;0;2;0;0;1;3;1;12;2023;Capital;São Paulo;035 DP - Jabaquara
LATROCÍNIO;0;0;2;1;0;0;0;0;0;1;0;0;4;2023;Capital;São Paulo;035 DP - Jabaquara
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;2;1;0;0;0;0;0;1;0;0;4;2023;Capital;São Paulo;035 DP - Jabaquara
TOTAL DE ESTUPRO (4);2;3;1;3;5;0;2;1;3;2;2;1;25;2023;Capital;São Paulo;035 DP - Jabaquara
ESTUPRO;2;1;0;1;2;0;1;0;0;1;0;0;8;2023;Capital;São Paulo;035 DP - Jabaquara
ESTUPRO DE VULNERÁVEL;0;2;1;2;3;0;1;1;3;1;2;1;17;2023;Capital;São Paulo;035 DP - Jabaquara
TOTAL DE ROUBO - OUTROS (1);100;146;162;116;156;134;149;133;122;154;134;122;1.628;2023;Capital;São Paulo;035 DP - Jabaquara
ROUBO - OUTROS;97;145;158;116;155;133;148;132;120;153;133;119;1.609;2023;Capital;São Paulo;035 DP - Jabaquara
ROUBO DE VEÍCULO;18;21;29;35;22;15;18;26;22;27;21;31;285;2023;Capital;São Paulo;035 DP - Jabaquara
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;035 DP - Jabaquara
ROUBO DE CARGA;3;1;4;0;1;1;1;1;2;1;1;3;19;2023;Capital;São Paulo;035 DP - Jabaquara
FURTO - OUTROS;220;248;271;232;293;230;255;308;305;293;256;245;3.156;2023;Capital;São Paulo;035 DP - Jabaquara
FURTO DE VEÍCULO;26;24;22;29;23;22;28;31;24;34;34;32;329;2023;Capital;São Paulo;035 DP - Jabaquara
