Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);5;2;2;1;1;3;0;2;2;1;4;1;24;2023;Capital;São Paulo;037 DP - Campo Limpo
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);5;3;2;1;1;3;0;2;2;2;4;1;26;2023;Capital;São Paulo;037 DP - Campo Limpo
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;1;0;1;2023;Capital;São Paulo;037 DP - Campo Limpo
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;1;0;1;2023;Capital;São Paulo;037 DP - Campo Limpo
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;1;1;4;1;2;2;0;1;2;4;0;1;19;2023;Capital;São Paulo;037 DP - Campo Limpo
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;037 DP - Campo Limpo
TENTATIVA DE HOMICÍDIO;2;2;4;1;2;6;1;3;3;1;4;2;31;2023;Capital;São Paulo;037 DP - Campo Limpo
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;037 DP - Campo Limpo
LESÃO CORPORAL DOLOSA;70;59;65;62;56;66;63;63;62;63;72;56;757;2023;Capital;São Paulo;037 DP - Campo Limpo
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;20;29;25;29;24;23;18;32;24;33;28;22;307;2023;Capital;São Paulo;037 DP - Campo Limpo
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;1;1;1;1;0;1;0;0;0;5;2023;Capital;São Paulo;037 DP - Campo Limpo
LATROCÍNIO;0;0;0;0;0;0;0;0;0;1;0;1;2;2023;Capital;São Paulo;037 DP - Campo Limpo
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;1;0;1;2;2023;Capital;São Paulo;037 DP - Campo Limpo
TOTAL DE ESTUPRO (4);6;2;10;5;5;4;5;8;9;4;8;5;71;2023;Capital;São Paulo;037 DP - Campo Limpo
ESTUPRO;1;1;2;0;2;0;2;1;6;1;2;1;19;2023;Capital;São Paulo;037 DP - Campo Limpo
ESTUPRO DE VULNERÁVEL;5;1;8;5;3;4;3;7;3;3;6;4;52;2023;Capital;São Paulo;037 DP - Campo Limpo
TOTAL DE ROUBO - OUTROS (1);346;373;388;342;366;323;352;327;321;316;347;338;4.139;2023;Capital;São Paulo;037 DP - Campo Limpo
ROUBO - OUTROS;339;368;383;341;361;319;349;321;317;315;345;335;4.093;2023;Capital;São Paulo;037 DP - Campo Limpo
ROUBO DE VEÍCULO;33;37;48;45;41;32;30;29;30;43;52;49;469;2023;Capital;São Paulo;037 DP - Campo Limpo
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;037 DP - Campo Limpo
ROUBO DE CARGA;7;5;5;1;5;4;3;6;4;1;2;3;46;2023;Capital;São Paulo;037 DP - Campo Limpo
FURTO - OUTROS;236;192;285;237;272;241;269;307;258;279;275;301;3.152;2023;Capital;São Paulo;037 DP - Campo Limpo
FURTO DE VEÍCULO;40;44;55;41;34;31;37;40;37;44;52;41;496;2023;Capital;São Paulo;037 DP - Campo Limpo
