Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);0;1;1;1;0;0;0;0;0;0;0;0;3;2023;Capital;São Paulo;038 DP - Vila Amália
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;1;1;1;0;0;0;0;0;0;0;0;3;2023;Capital;São Paulo;038 DP - Vila Amália
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;038 DP - Vila Amália
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;038 DP - Vila Amália
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;1;1;0;0;0;0;3;1;0;1;0;0;7;2023;Capital;São Paulo;038 DP - Vila Amália
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;1;0;0;1;2023;Capital;São Paulo;038 DP - Vila Amália
TENTATIVA DE HOMICÍDIO;0;1;1;0;0;2;0;0;1;1;0;1;7;2023;Capital;São Paulo;038 DP - Vila Amália
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;038 DP - Vila Amália
LESÃO CORPORAL DOLOSA;58;59;47;46;33;47;29;31;43;41;42;51;527;2023;Capital;São Paulo;038 DP - Vila Amália
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;7;19;12;11;10;15;10;14;18;17;21;20;174;2023;Capital;São Paulo;038 DP - Vila Amália
LESÃO CORPORAL CULPOSA - OUTRAS;0;1;0;0;2;1;1;0;0;0;0;0;5;2023;Capital;São Paulo;038 DP - Vila Amália
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;038 DP - Vila Amália
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;038 DP - Vila Amália
TOTAL DE ESTUPRO (4);6;1;5;4;2;6;2;6;6;5;2;4;49;2023;Capital;São Paulo;038 DP - Vila Amália
ESTUPRO;2;0;1;2;1;0;1;2;2;1;1;1;14;2023;Capital;São Paulo;038 DP - Vila Amália
ESTUPRO DE VULNERÁVEL;4;1;4;2;1;6;1;4;4;4;1;3;35;2023;Capital;São Paulo;038 DP - Vila Amália
TOTAL DE ROUBO - OUTROS (1);69;62;82;65;74;82;52;53;45;69;39;83;775;2023;Capital;São Paulo;038 DP - Vila Amália
ROUBO - OUTROS;68;61;81;60;73;82;51;51;44;68;37;82;758;2023;Capital;São Paulo;038 DP - Vila Amália
ROUBO DE VEÍCULO;3;2;5;1;10;5;5;7;2;3;7;5;55;2023;Capital;São Paulo;038 DP - Vila Amália
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;038 DP - Vila Amália
ROUBO DE CARGA;1;1;1;5;1;0;1;2;1;1;2;1;17;2023;Capital;São Paulo;038 DP - Vila Amália
FURTO - OUTROS;148;115;130;142;151;143;125;116;112;126;106;151;1.565;2023;Capital;São Paulo;038 DP - Vila Amália
FURTO DE VEÍCULO;23;15;26;27;31;20;32;20;17;28;31;22;292;2023;Capital;São Paulo;038 DP - Vila Amália
