Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);0;1;0;0;0;0;0;1;0;1;0;1;4;2023;Capital;São Paulo;039 DP - Vila Gustavo
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;1;0;0;0;0;0;1;0;4;0;1;7;2023;Capital;São Paulo;039 DP - Vila Gustavo
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;039 DP - Vila Gustavo
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;039 DP - Vila Gustavo
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;1;1;0;0;0;0;0;0;1;3;2023;Capital;São Paulo;039 DP - Vila Gustavo
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;039 DP - Vila Gustavo
TENTATIVA DE HOMICÍDIO;0;0;0;1;1;0;0;0;0;0;0;0;2;2023;Capital;São Paulo;039 DP - Vila Gustavo
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;1;0;0;0;0;0;0;0;0;0;1;2023;Capital;São Paulo;039 DP - Vila Gustavo
LESÃO CORPORAL DOLOSA;42;38;47;40;36;34;37;43;43;49;47;58;514;2023;Capital;São Paulo;039 DP - Vila Gustavo
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;15;12;17;18;10;9;10;6;21;15;17;14;164;2023;Capital;São Paulo;039 DP - Vila Gustavo
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;1;3;0;0;0;2;0;1;1;8;2023;Capital;São Paulo;039 DP - Vila Gustavo
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;039 DP - Vila Gustavo
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;039 DP - Vila Gustavo
TOTAL DE ESTUPRO (4);1;4;3;2;5;2;0;3;6;3;1;4;34;2023;Capital;São Paulo;039 DP - Vila Gustavo
ESTUPRO;0;0;0;0;0;0;0;1;1;0;0;1;3;2023;Capital;São Paulo;039 DP - Vila Gustavo
ESTUPRO DE VULNERÁVEL;1;4;3;2;5;2;0;2;5;3;1;3;31;2023;Capital;São Paulo;039 DP - Vila Gustavo
TOTAL DE ROUBO - OUTROS (1);95;107;90;77;72;62;50;72;48;68;66;80;887;2023;Capital;São Paulo;039 DP - Vila Gustavo
ROUBO - OUTROS;94;104;88;76;71;61;48;72;48;68;66;76;872;2023;Capital;São Paulo;039 DP - Vila Gustavo
ROUBO DE VEÍCULO;8;6;3;5;3;5;5;6;4;7;3;3;58;2023;Capital;São Paulo;039 DP - Vila Gustavo
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;039 DP - Vila Gustavo
ROUBO DE CARGA;1;3;2;1;1;1;2;0;0;0;0;4;15;2023;Capital;São Paulo;039 DP - Vila Gustavo
FURTO - OUTROS;188;208;192;180;210;175;162;196;174;168;152;223;2.228;2023;Capital;São Paulo;039 DP - Vila Gustavo
FURTO DE VEÍCULO;55;44;41;38;43;45;53;40;46;48;33;28;514;2023;Capital;São Paulo;039 DP - Vila Gustavo
