Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);0;0;0;0;0;0;0;0;1;0;2;0;3;2023;Capital;São Paulo;040 DP - Vila Santa Maria
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;0;0;0;0;1;0;2;0;3;2023;Capital;São Paulo;040 DP - Vila Santa Maria
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;040 DP - Vila Santa Maria
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;040 DP - Vila Santa Maria
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;1;0;0;0;1;1;0;1;0;4;2023;Capital;São Paulo;040 DP - Vila Santa Maria
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;040 DP - Vila Santa Maria
TENTATIVA DE HOMICÍDIO;0;0;0;0;1;0;1;1;0;0;0;1;4;2023;Capital;São Paulo;040 DP - Vila Santa Maria
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;040 DP - Vila Santa Maria
LESÃO CORPORAL DOLOSA;34;21;29;24;29;35;28;21;26;28;25;35;335;2023;Capital;São Paulo;040 DP - Vila Santa Maria
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;7;5;9;6;7;5;8;6;7;6;4;7;77;2023;Capital;São Paulo;040 DP - Vila Santa Maria
LESÃO CORPORAL CULPOSA - OUTRAS;1;1;1;2;1;1;0;0;1;0;0;1;9;2023;Capital;São Paulo;040 DP - Vila Santa Maria
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;040 DP - Vila Santa Maria
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;040 DP - Vila Santa Maria
TOTAL DE ESTUPRO (4);1;2;3;4;1;1;2;0;1;0;0;2;17;2023;Capital;São Paulo;040 DP - Vila Santa Maria
ESTUPRO;1;0;2;2;1;0;2;0;1;0;0;0;9;2023;Capital;São Paulo;040 DP - Vila Santa Maria
ESTUPRO DE VULNERÁVEL;0;2;1;2;0;1;0;0;0;0;0;2;8;2023;Capital;São Paulo;040 DP - Vila Santa Maria
TOTAL DE ROUBO - OUTROS (1);54;48;55;54;55;62;39;60;47;58;51;52;635;2023;Capital;São Paulo;040 DP - Vila Santa Maria
ROUBO - OUTROS;50;46;52;53;52;62;36;56;46;55;48;50;606;2023;Capital;São Paulo;040 DP - Vila Santa Maria
ROUBO DE VEÍCULO;1;6;7;4;5;6;4;1;7;7;5;12;65;2023;Capital;São Paulo;040 DP - Vila Santa Maria
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;040 DP - Vila Santa Maria
ROUBO DE CARGA;4;2;3;1;3;0;3;4;1;3;3;2;29;2023;Capital;São Paulo;040 DP - Vila Santa Maria
FURTO - OUTROS;127;117;112;113;145;163;122;173;150;138;172;173;1.705;2023;Capital;São Paulo;040 DP - Vila Santa Maria
FURTO DE VEÍCULO;32;36;30;30;41;26;31;30;27;25;38;21;367;2023;Capital;São Paulo;040 DP - Vila Santa Maria
