Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);0;0;0;0;1;0;0;0;0;0;2;1;4;2023;Capital;São Paulo;041 DP - Vila Rica
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;1;0;0;0;0;0;2;1;4;2023;Capital;São Paulo;041 DP - Vila Rica
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;041 DP - Vila Rica
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;041 DP - Vila Rica
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;1;0;0;0;1;1;0;0;0;1;1;0;5;2023;Capital;São Paulo;041 DP - Vila Rica
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;041 DP - Vila Rica
TENTATIVA DE HOMICÍDIO;2;0;1;2;0;0;0;1;0;1;2;1;10;2023;Capital;São Paulo;041 DP - Vila Rica
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;041 DP - Vila Rica
LESÃO CORPORAL DOLOSA;24;17;43;47;28;23;23;34;34;33;43;30;379;2023;Capital;São Paulo;041 DP - Vila Rica
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;9;8;16;7;10;19;13;18;8;13;6;4;131;2023;Capital;São Paulo;041 DP - Vila Rica
LESÃO CORPORAL CULPOSA - OUTRAS;1;1;0;0;1;0;0;0;0;0;0;0;3;2023;Capital;São Paulo;041 DP - Vila Rica
LATROCÍNIO;0;0;0;0;0;0;1;0;0;0;0;0;1;2023;Capital;São Paulo;041 DP - Vila Rica
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;1;0;0;0;0;0;1;2023;Capital;São Paulo;041 DP - Vila Rica
TOTAL DE ESTUPRO (4);1;3;4;1;7;5;5;6;3;1;3;2;41;2023;Capital;São Paulo;041 DP - Vila Rica
ESTUPRO;1;0;2;0;1;2;1;0;0;0;1;1;9;2023;Capital;São Paulo;041 DP - Vila Rica
ESTUPRO DE VULNERÁVEL;0;3;2;1;6;3;4;6;3;1;2;1;32;2023;Capital;São Paulo;041 DP - Vila Rica
TOTAL DE ROUBO - OUTROS (1);96;93;116;121;112;47;68;84;59;85;83;117;1.081;2023;Capital;São Paulo;041 DP - Vila Rica
ROUBO - OUTROS;94;92;113;119;111;47;66;83;59;83;81;116;1.064;2023;Capital;São Paulo;041 DP - Vila Rica
ROUBO DE VEÍCULO;11;15;14;9;15;14;8;5;13;7;13;15;139;2023;Capital;São Paulo;041 DP - Vila Rica
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;041 DP - Vila Rica
ROUBO DE CARGA;2;1;3;2;1;0;2;1;0;2;2;1;17;2023;Capital;São Paulo;041 DP - Vila Rica
FURTO - OUTROS;136;111;146;132;133;120;135;121;108;124;118;110;1.494;2023;Capital;São Paulo;041 DP - Vila Rica
FURTO DE VEÍCULO;59;48;70;59;68;66;78;73;75;61;69;59;785;2023;Capital;São Paulo;041 DP - Vila Rica
