Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;042 DP - Parque São Lucas
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;042 DP - Parque São Lucas
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;042 DP - Parque São Lucas
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;042 DP - Parque São Lucas
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;1;0;0;0;0;1;2023;Capital;São Paulo;042 DP - Parque São Lucas
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;042 DP - Parque São Lucas
TENTATIVA DE HOMICÍDIO;0;1;0;0;0;1;0;0;0;0;0;0;2;2023;Capital;São Paulo;042 DP - Parque São Lucas
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;042 DP - Parque São Lucas
LESÃO CORPORAL DOLOSA;21;20;26;17;29;14;23;30;25;27;21;22;275;2023;Capital;São Paulo;042 DP - Parque São Lucas
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;8;5;12;3;8;8;8;11;4;7;9;14;97;2023;Capital;São Paulo;042 DP - Parque São Lucas
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;1;0;0;0;2;2;0;1;0;6;2023;Capital;São Paulo;042 DP - Parque São Lucas
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;1;1;2023;Capital;São Paulo;042 DP - Parque São Lucas
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;1;1;2023;Capital;São Paulo;042 DP - Parque São Lucas
TOTAL DE ESTUPRO (4);3;3;3;1;2;1;2;3;1;5;7;4;35;2023;Capital;São Paulo;042 DP - Parque São Lucas
ESTUPRO;2;1;1;0;0;1;1;0;0;1;2;0;9;2023;Capital;São Paulo;042 DP - Parque São Lucas
ESTUPRO DE VULNERÁVEL;1;2;2;1;2;0;1;3;1;4;5;4;26;2023;Capital;São Paulo;042 DP - Parque São Lucas
TOTAL DE ROUBO - OUTROS (1);77;77;77;61;54;54;52;54;60;62;72;57;757;2023;Capital;São Paulo;042 DP - Parque São Lucas
ROUBO - OUTROS;77;76;75;61;54;54;52;53;60;62;72;57;753;2023;Capital;São Paulo;042 DP - Parque São Lucas
ROUBO DE VEÍCULO;10;9;14;8;9;8;15;16;17;17;21;15;159;2023;Capital;São Paulo;042 DP - Parque São Lucas
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;042 DP - Parque São Lucas
ROUBO DE CARGA;0;1;2;0;0;0;0;1;0;0;0;0;4;2023;Capital;São Paulo;042 DP - Parque São Lucas
FURTO - OUTROS;79;70;95;83;86;77;90;93;87;111;88;86;1.045;2023;Capital;São Paulo;042 DP - Parque São Lucas
FURTO DE VEÍCULO;52;46;88;73;90;77;87;89;71;63;76;47;859;2023;Capital;São Paulo;042 DP - Parque São Lucas
