Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);0;0;0;0;0;0;1;0;0;0;0;0;1;2023;Capital;São Paulo;043 DP - Cidade Ademar
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;0;0;1;0;0;0;0;0;1;2023;Capital;São Paulo;043 DP - Cidade Ademar
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;043 DP - Cidade Ademar
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;043 DP - Cidade Ademar
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;1;0;0;1;1;0;0;0;0;1;1;0;5;2023;Capital;São Paulo;043 DP - Cidade Ademar
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;043 DP - Cidade Ademar
TENTATIVA DE HOMICÍDIO;0;0;1;1;0;0;0;0;0;2;0;0;4;2023;Capital;São Paulo;043 DP - Cidade Ademar
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;043 DP - Cidade Ademar
LESÃO CORPORAL DOLOSA;20;26;25;26;36;25;20;17;29;20;20;24;288;2023;Capital;São Paulo;043 DP - Cidade Ademar
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;8;8;9;11;3;6;7;5;3;3;7;4;74;2023;Capital;São Paulo;043 DP - Cidade Ademar
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;0;0;0;0;0;1;1;2;2023;Capital;São Paulo;043 DP - Cidade Ademar
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;043 DP - Cidade Ademar
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;043 DP - Cidade Ademar
TOTAL DE ESTUPRO (4);4;5;2;3;0;1;1;0;2;4;2;3;27;2023;Capital;São Paulo;043 DP - Cidade Ademar
ESTUPRO;1;0;0;1;0;0;0;0;0;1;0;1;4;2023;Capital;São Paulo;043 DP - Cidade Ademar
ESTUPRO DE VULNERÁVEL;3;5;2;2;0;1;1;0;2;3;2;2;23;2023;Capital;São Paulo;043 DP - Cidade Ademar
TOTAL DE ROUBO - OUTROS (1);79;72;85;94;76;62;95;78;68;67;55;51;882;2023;Capital;São Paulo;043 DP - Cidade Ademar
ROUBO - OUTROS;79;71;84;94;76;62;93;78;68;64;55;51;875;2023;Capital;São Paulo;043 DP - Cidade Ademar
ROUBO DE VEÍCULO;17;14;21;18;16;6;12;9;8;7;8;19;155;2023;Capital;São Paulo;043 DP - Cidade Ademar
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;043 DP - Cidade Ademar
ROUBO DE CARGA;0;1;1;0;0;0;2;0;0;3;0;0;7;2023;Capital;São Paulo;043 DP - Cidade Ademar
FURTO - OUTROS;67;87;109;86;97;82;72;67;76;55;60;73;931;2023;Capital;São Paulo;043 DP - Cidade Ademar
FURTO DE VEÍCULO;12;12;10;10;14;10;11;15;18;10;7;6;135;2023;Capital;São Paulo;043 DP - Cidade Ademar
