Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);2;0;2;0;0;1;0;2;1;0;0;1;9;2023;Capital;São Paulo;044 DP - Guaianazes
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);2;0;2;0;0;1;0;3;1;0;0;1;10;2023;Capital;São Paulo;044 DP - Guaianazes
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;044 DP - Guaianazes
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;044 DP - Guaianazes
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;1;0;0;0;0;0;0;2;0;1;4;2023;Capital;São Paulo;044 DP - Guaianazes
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;1;0;0;0;0;0;0;1;2023;Capital;São Paulo;044 DP - Guaianazes
TENTATIVA DE HOMICÍDIO;2;1;0;0;1;2;0;1;0;0;2;1;10;2023;Capital;São Paulo;044 DP - Guaianazes
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;1;0;1;2023;Capital;São Paulo;044 DP - Guaianazes
LESÃO CORPORAL DOLOSA;30;32;46;28;40;34;41;32;48;30;49;37;447;2023;Capital;São Paulo;044 DP - Guaianazes
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;10;7;7;0;11;8;13;11;10;7;13;10;107;2023;Capital;São Paulo;044 DP - Guaianazes
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;1;0;0;0;0;0;1;1;0;0;3;2023;Capital;São Paulo;044 DP - Guaianazes
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;044 DP - Guaianazes
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;044 DP - Guaianazes
TOTAL DE ESTUPRO (4);2;3;3;6;1;3;5;1;5;4;3;5;41;2023;Capital;São Paulo;044 DP - Guaianazes
ESTUPRO;0;0;1;1;0;1;0;0;0;0;2;0;5;2023;Capital;São Paulo;044 DP - Guaianazes
ESTUPRO DE VULNERÁVEL;2;3;2;5;1;2;5;1;5;4;1;5;36;2023;Capital;São Paulo;044 DP - Guaianazes
TOTAL DE ROUBO - OUTROS (1);126;115;115;110;144;144;182;152;146;162;141;172;1.709;2023;Capital;São Paulo;044 DP - Guaianazes
ROUBO - OUTROS;124;113;115;109;142;144;179;150;143;159;141;172;1.691;2023;Capital;São Paulo;044 DP - Guaianazes
ROUBO DE VEÍCULO;28;18;21;31;21;26;33;35;17;27;36;40;333;2023;Capital;São Paulo;044 DP - Guaianazes
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;044 DP - Guaianazes
ROUBO DE CARGA;2;2;0;1;2;0;3;2;3;3;0;0;18;2023;Capital;São Paulo;044 DP - Guaianazes
FURTO - OUTROS;132;92;136;153;138;127;140;135;133;143;125;148;1.602;2023;Capital;São Paulo;044 DP - Guaianazes
FURTO DE VEÍCULO;22;21;39;34;20;27;16;23;23;26;21;15;287;2023;Capital;São Paulo;044 DP - Guaianazes
