Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);0;1;0;0;1;1;0;1;1;0;0;0;5;2023;Capital;São Paulo;045 DP - Vila Brasilândia
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;1;0;0;1;1;0;1;1;0;0;0;5;2023;Capital;São Paulo;045 DP - Vila Brasilândia
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;045 DP - Vila Brasilândia
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;045 DP - Vila Brasilândia
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;1;1;0;0;2;2023;Capital;São Paulo;045 DP - Vila Brasilândia
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;045 DP - Vila Brasilândia
TENTATIVA DE HOMICÍDIO;1;0;0;1;0;0;0;0;0;0;0;0;2;2023;Capital;São Paulo;045 DP - Vila Brasilândia
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;1;0;1;2023;Capital;São Paulo;045 DP - Vila Brasilândia
LESÃO CORPORAL DOLOSA;25;25;37;23;27;30;20;24;41;36;40;42;370;2023;Capital;São Paulo;045 DP - Vila Brasilândia
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;9;7;2;7;8;7;7;6;6;9;1;6;75;2023;Capital;São Paulo;045 DP - Vila Brasilândia
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;0;0;0;0;1;0;0;1;2023;Capital;São Paulo;045 DP - Vila Brasilândia
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;045 DP - Vila Brasilândia
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;1;0;0;0;0;0;0;0;0;1;2023;Capital;São Paulo;045 DP - Vila Brasilândia
TOTAL DE ESTUPRO (4);1;2;2;0;4;2;2;1;4;6;4;3;31;2023;Capital;São Paulo;045 DP - Vila Brasilândia
ESTUPRO;0;1;0;0;2;0;0;0;1;1;0;0;5;2023;Capital;São Paulo;045 DP - Vila Brasilândia
ESTUPRO DE VULNERÁVEL;1;1;2;0;2;2;2;1;3;5;4;3;26;2023;Capital;São Paulo;045 DP - Vila Brasilândia
TOTAL DE ROUBO - OUTROS (1);46;56;46;48;40;34;34;49;36;52;51;47;539;2023;Capital;São Paulo;045 DP - Vila Brasilândia
ROUBO - OUTROS;44;53;46;48;40;33;34;45;36;47;48;45;519;2023;Capital;São Paulo;045 DP - Vila Brasilândia
ROUBO DE VEÍCULO;8;5;1;4;3;7;2;1;3;8;6;8;56;2023;Capital;São Paulo;045 DP - Vila Brasilândia
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;045 DP - Vila Brasilândia
ROUBO DE CARGA;2;3;0;0;0;1;0;4;0;5;3;2;20;2023;Capital;São Paulo;045 DP - Vila Brasilândia
FURTO - OUTROS;59;55;74;62;97;89;61;79;62;96;79;77;890;2023;Capital;São Paulo;045 DP - Vila Brasilândia
FURTO DE VEÍCULO;12;16;14;6;12;13;13;17;15;14;14;18;164;2023;Capital;São Paulo;045 DP - Vila Brasilândia
