Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);2;0;1;1;3;1;0;3;1;2;2;2;18;2023;Capital;São Paulo;046 DP - Perus
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);2;0;1;1;4;1;0;4;1;2;2;2;20;2023;Capital;São Paulo;046 DP - Perus
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;046 DP - Perus
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;046 DP - Perus
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;3;1;2;2;2;2;5;7;6;2;2;0;34;2023;Capital;São Paulo;046 DP - Perus
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;046 DP - Perus
TENTATIVA DE HOMICÍDIO;5;2;1;1;0;2;1;4;1;0;3;1;21;2023;Capital;São Paulo;046 DP - Perus
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;046 DP - Perus
LESÃO CORPORAL DOLOSA;40;58;72;56;58;58;60;50;47;63;72;63;697;2023;Capital;São Paulo;046 DP - Perus
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;17;21;15;19;16;22;22;38;19;18;21;31;259;2023;Capital;São Paulo;046 DP - Perus
LESÃO CORPORAL CULPOSA - OUTRAS;0;1;1;1;1;0;0;0;0;0;0;0;4;2023;Capital;São Paulo;046 DP - Perus
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;046 DP - Perus
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;046 DP - Perus
TOTAL DE ESTUPRO (4);6;3;8;6;11;7;3;5;8;8;4;7;76;2023;Capital;São Paulo;046 DP - Perus
ESTUPRO;1;1;2;3;2;1;0;1;1;5;1;0;18;2023;Capital;São Paulo;046 DP - Perus
ESTUPRO DE VULNERÁVEL;5;2;6;3;9;6;3;4;7;3;3;7;58;2023;Capital;São Paulo;046 DP - Perus
TOTAL DE ROUBO - OUTROS (1);165;175;192;103;104;119;127;155;137;150;150;176;1.753;2023;Capital;São Paulo;046 DP - Perus
ROUBO - OUTROS;154;163;173;93;98;107;117;135;120;139;131;161;1.591;2023;Capital;São Paulo;046 DP - Perus
ROUBO DE VEÍCULO;38;43;42;38;20;22;25;35;23;30;36;43;395;2023;Capital;São Paulo;046 DP - Perus
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;046 DP - Perus
ROUBO DE CARGA;11;12;19;10;6;12;10;20;17;11;19;15;162;2023;Capital;São Paulo;046 DP - Perus
FURTO - OUTROS;147;139;169;163;170;175;150;168;157;155;172;186;1.951;2023;Capital;São Paulo;046 DP - Perus
FURTO DE VEÍCULO;40;33;38;19;25;34;29;22;30;23;18;34;345;2023;Capital;São Paulo;046 DP - Perus
