Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);1;1;2;0;1;1;1;0;2;0;3;3;15;2023;Capital;São Paulo;047 DP - Capão Redondo
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);1;1;2;0;1;1;3;0;3;0;3;5;20;2023;Capital;São Paulo;047 DP - Capão Redondo
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;1;0;0;0;0;0;0;0;0;0;0;1;2023;Capital;São Paulo;047 DP - Capão Redondo
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;1;0;0;0;0;0;0;0;0;0;0;1;2023;Capital;São Paulo;047 DP - Capão Redondo
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;1;0;1;0;0;1;1;1;0;0;1;6;2023;Capital;São Paulo;047 DP - Capão Redondo
HOMICÍDIO CULPOSO OUTROS;0;1;0;0;0;0;0;0;0;0;1;0;2;2023;Capital;São Paulo;047 DP - Capão Redondo
TENTATIVA DE HOMICÍDIO;0;2;0;1;6;1;0;0;1;2;5;3;21;2023;Capital;São Paulo;047 DP - Capão Redondo
LESÃO CORPORAL SEGUIDA DE MORTE;1;0;0;0;0;0;0;0;0;0;0;0;1;2023;Capital;São Paulo;047 DP - Capão Redondo
LESÃO CORPORAL DOLOSA;63;89;85;84;78;67;58;58;94;83;104;73;936;2023;Capital;São Paulo;047 DP - Capão Redondo
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;18;15;18;27;22;26;18;32;29;28;29;25;287;2023;Capital;São Paulo;047 DP - Capão Redondo
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;1;1;0;0;0;1;5;0;0;8;2023;Capital;São Paulo;047 DP - Capão Redondo
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;1;1;2;2023;Capital;São Paulo;047 DP - Capão Redondo
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;1;1;2;2023;Capital;São Paulo;047 DP - Capão Redondo
TOTAL DE ESTUPRO (4);7;8;9;5;7;8;10;10;10;9;12;8;103;2023;Capital;São Paulo;047 DP - Capão Redondo
ESTUPRO;0;3;1;1;2;2;3;1;3;1;0;1;18;2023;Capital;São Paulo;047 DP - Capão Redondo
ESTUPRO DE VULNERÁVEL;7;5;8;4;5;6;7;9;7;8;12;7;85;2023;Capital;São Paulo;047 DP - Capão Redondo
TOTAL DE ROUBO - OUTROS (1);400;364;444;450;487;431;420;422;374;404;377;353;4.926;2023;Capital;São Paulo;047 DP - Capão Redondo
ROUBO - OUTROS;395;358;428;438;478;424;415;417;368;401;373;345;4.840;2023;Capital;São Paulo;047 DP - Capão Redondo
ROUBO DE VEÍCULO;24;29;53;37;47;36;43;32;38;42;38;34;453;2023;Capital;São Paulo;047 DP - Capão Redondo
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;047 DP - Capão Redondo
ROUBO DE CARGA;5;6;16;12;9;7;5;5;6;3;4;8;86;2023;Capital;São Paulo;047 DP - Capão Redondo
FURTO - OUTROS;182;138;176;195;201;212;206;202;241;252;262;253;2.520;2023;Capital;São Paulo;047 DP - Capão Redondo
FURTO DE VEÍCULO;42;34;42;40;20;34;42;35;26;35;31;44;425;2023;Capital;São Paulo;047 DP - Capão Redondo
