Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);0;1;0;1;0;0;0;0;1;0;1;0;4;2023;Capital;São Paulo;048 DP - Cidade Dutra
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;1;0;1;0;0;0;0;1;0;1;0;4;2023;Capital;São Paulo;048 DP - Cidade Dutra
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;048 DP - Cidade Dutra
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;048 DP - Cidade Dutra
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;1;1;0;1;1;0;1;0;0;1;0;0;6;2023;Capital;São Paulo;048 DP - Cidade Dutra
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;048 DP - Cidade Dutra
TENTATIVA DE HOMICÍDIO;1;0;1;0;1;0;0;2;0;0;1;1;7;2023;Capital;São Paulo;048 DP - Cidade Dutra
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;048 DP - Cidade Dutra
LESÃO CORPORAL DOLOSA;17;15;16;12;21;18;5;17;23;9;11;17;181;2023;Capital;São Paulo;048 DP - Cidade Dutra
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;10;5;6;12;6;10;13;14;5;7;14;10;112;2023;Capital;São Paulo;048 DP - Cidade Dutra
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;1;0;0;0;0;0;0;0;1;2023;Capital;São Paulo;048 DP - Cidade Dutra
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;048 DP - Cidade Dutra
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;048 DP - Cidade Dutra
TOTAL DE ESTUPRO (4);2;0;2;3;1;1;0;1;1;4;3;1;19;2023;Capital;São Paulo;048 DP - Cidade Dutra
ESTUPRO;0;0;1;0;1;0;0;1;0;0;0;1;4;2023;Capital;São Paulo;048 DP - Cidade Dutra
ESTUPRO DE VULNERÁVEL;2;0;1;3;0;1;0;0;1;4;3;0;15;2023;Capital;São Paulo;048 DP - Cidade Dutra
TOTAL DE ROUBO - OUTROS (1);90;76;108;59;58;75;78;66;112;73;48;86;929;2023;Capital;São Paulo;048 DP - Cidade Dutra
ROUBO - OUTROS;87;73;103;58;55;73;75;63;110;69;47;84;897;2023;Capital;São Paulo;048 DP - Cidade Dutra
ROUBO DE VEÍCULO;9;15;13;15;12;14;20;11;17;19;13;29;187;2023;Capital;São Paulo;048 DP - Cidade Dutra
ROUBO A BANCO;0;0;0;0;1;0;0;0;0;0;0;0;1;2023;Capital;São Paulo;048 DP - Cidade Dutra
ROUBO DE CARGA;3;3;5;1;2;2;3;3;2;4;1;2;31;2023;Capital;São Paulo;048 DP - Cidade Dutra
FURTO - OUTROS;83;81;688;141;202;106;113;128;1.562;125;126;148;3.503;2023;Capital;São Paulo;048 DP - Cidade Dutra
FURTO DE VEÍCULO;13;6;15;8;11;12;10;21;15;17;15;12;155;2023;Capital;São Paulo;048 DP - Cidade Dutra
