Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);1;0;0;2;0;4;0;1;0;2;0;1;11;2023;Capital;São Paulo;049 DP - São Mateus
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);1;0;0;2;0;5;0;1;0;2;0;1;12;2023;Capital;São Paulo;049 DP - São Mateus
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;049 DP - São Mateus
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;049 DP - São Mateus
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;1;0;0;2;0;1;1;4;4;1;14;2023;Capital;São Paulo;049 DP - São Mateus
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;049 DP - São Mateus
TENTATIVA DE HOMICÍDIO;1;1;1;0;1;1;2;1;0;2;0;3;13;2023;Capital;São Paulo;049 DP - São Mateus
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;049 DP - São Mateus
LESÃO CORPORAL DOLOSA;42;36;66;56;68;45;38;57;53;49;59;56;625;2023;Capital;São Paulo;049 DP - São Mateus
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;16;14;15;8;18;16;19;16;24;9;20;20;195;2023;Capital;São Paulo;049 DP - São Mateus
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;1;0;1;0;0;0;0;1;0;0;3;2023;Capital;São Paulo;049 DP - São Mateus
LATROCÍNIO;0;0;1;0;0;0;0;1;0;0;0;0;2;2023;Capital;São Paulo;049 DP - São Mateus
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;1;0;0;0;0;1;0;0;0;0;2;2023;Capital;São Paulo;049 DP - São Mateus
TOTAL DE ESTUPRO (4);2;6;6;3;7;8;3;3;4;6;7;6;61;2023;Capital;São Paulo;049 DP - São Mateus
ESTUPRO;0;1;0;1;2;0;0;0;0;1;0;2;7;2023;Capital;São Paulo;049 DP - São Mateus
ESTUPRO DE VULNERÁVEL;2;5;6;2;5;8;3;3;4;5;7;4;54;2023;Capital;São Paulo;049 DP - São Mateus
TOTAL DE ROUBO - OUTROS (1);174;180;177;196;178;176;192;195;152;160;165;209;2.154;2023;Capital;São Paulo;049 DP - São Mateus
ROUBO - OUTROS;168;177;166;184;169;165;186;184;145;157;146;195;2.042;2023;Capital;São Paulo;049 DP - São Mateus
ROUBO DE VEÍCULO;43;46;46;38;39;24;41;43;44;51;42;48;505;2023;Capital;São Paulo;049 DP - São Mateus
ROUBO A BANCO;0;0;0;0;0;0;0;1;0;0;0;0;1;2023;Capital;São Paulo;049 DP - São Mateus
ROUBO DE CARGA;6;3;11;12;9;11;6;10;7;3;19;14;111;2023;Capital;São Paulo;049 DP - São Mateus
FURTO - OUTROS;174;158;228;185;198;235;216;214;190;217;195;196;2.406;2023;Capital;São Paulo;049 DP - São Mateus
FURTO DE VEÍCULO;48;42;68;56;72;49;66;51;49;58;59;53;671;2023;Capital;São Paulo;049 DP - São Mateus
