Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);0;0;1;0;0;0;1;0;2;0;1;0;5;2023;Capital;São Paulo;050 DP - Itaim Paulista
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;1;0;0;0;1;0;2;0;1;0;5;2023;Capital;São Paulo;050 DP - Itaim Paulista
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;050 DP - Itaim Paulista
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;050 DP - Itaim Paulista
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;2;0;0;1;1;1;2;0;1;0;1;9;2023;Capital;São Paulo;050 DP - Itaim Paulista
HOMICÍDIO CULPOSO OUTROS;0;1;0;0;1;0;0;0;0;0;0;0;2;2023;Capital;São Paulo;050 DP - Itaim Paulista
TENTATIVA DE HOMICÍDIO;1;0;2;0;0;0;0;1;0;1;0;3;8;2023;Capital;São Paulo;050 DP - Itaim Paulista
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;050 DP - Itaim Paulista
LESÃO CORPORAL DOLOSA;46;56;48;46;55;45;50;58;57;49;69;65;644;2023;Capital;São Paulo;050 DP - Itaim Paulista
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;9;7;8;13;4;14;12;12;11;17;15;15;137;2023;Capital;São Paulo;050 DP - Itaim Paulista
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;1;0;0;1;0;0;0;1;0;0;3;2023;Capital;São Paulo;050 DP - Itaim Paulista
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;1;1;2023;Capital;São Paulo;050 DP - Itaim Paulista
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;1;1;2023;Capital;São Paulo;050 DP - Itaim Paulista
TOTAL DE ESTUPRO (4);3;3;11;3;4;8;6;8;12;2;7;5;72;2023;Capital;São Paulo;050 DP - Itaim Paulista
ESTUPRO;0;1;1;0;2;3;1;0;5;0;1;1;15;2023;Capital;São Paulo;050 DP - Itaim Paulista
ESTUPRO DE VULNERÁVEL;3;2;10;3;2;5;5;8;7;2;6;4;57;2023;Capital;São Paulo;050 DP - Itaim Paulista
TOTAL DE ROUBO - OUTROS (1);220;184;181;153;191;145;146;189;141;160;184;138;2.032;2023;Capital;São Paulo;050 DP - Itaim Paulista
ROUBO - OUTROS;218;181;179;152;189;144;144;187;140;160;183;136;2.013;2023;Capital;São Paulo;050 DP - Itaim Paulista
ROUBO DE VEÍCULO;22;11;30;14;18;13;9;20;22;24;15;19;217;2023;Capital;São Paulo;050 DP - Itaim Paulista
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;050 DP - Itaim Paulista
ROUBO DE CARGA;2;3;2;1;2;1;2;2;1;0;1;2;19;2023;Capital;São Paulo;050 DP - Itaim Paulista
FURTO - OUTROS;257;195;245;232;288;232;228;244;217;247;270;235;2.890;2023;Capital;São Paulo;050 DP - Itaim Paulista
FURTO DE VEÍCULO;26;33;37;24;22;26;26;41;33;29;27;32;356;2023;Capital;São Paulo;050 DP - Itaim Paulista
