Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);1;0;0;1;1;1;1;0;0;0;1;1;7;2023;Capital;São Paulo;051 DP - Butantã
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);1;0;0;1;1;1;1;0;0;0;1;1;7;2023;Capital;São Paulo;051 DP - Butantã
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;051 DP - Butantã
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;051 DP - Butantã
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;1;1;1;0;0;1;2;0;2;0;0;0;8;2023;Capital;São Paulo;051 DP - Butantã
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;051 DP - Butantã
TENTATIVA DE HOMICÍDIO;1;0;0;0;1;2;0;0;0;0;0;0;4;2023;Capital;São Paulo;051 DP - Butantã
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;051 DP - Butantã
LESÃO CORPORAL DOLOSA;17;22;21;18;20;18;27;30;25;27;28;18;271;2023;Capital;São Paulo;051 DP - Butantã
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;10;15;13;13;17;8;15;12;19;8;13;12;155;2023;Capital;São Paulo;051 DP - Butantã
LESÃO CORPORAL CULPOSA - OUTRAS;1;1;0;0;1;0;0;0;0;0;1;0;4;2023;Capital;São Paulo;051 DP - Butantã
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;051 DP - Butantã
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;051 DP - Butantã
TOTAL DE ESTUPRO (4);5;1;5;2;3;2;4;0;2;4;2;2;32;2023;Capital;São Paulo;051 DP - Butantã
ESTUPRO;0;0;2;0;1;0;1;0;1;3;0;0;8;2023;Capital;São Paulo;051 DP - Butantã
ESTUPRO DE VULNERÁVEL;5;1;3;2;2;2;3;0;1;1;2;2;24;2023;Capital;São Paulo;051 DP - Butantã
TOTAL DE ROUBO - OUTROS (1);134;100;124;104;97;108;103;128;118;125;77;91;1.309;2023;Capital;São Paulo;051 DP - Butantã
ROUBO - OUTROS;133;100;121;100;93;106;101;127;116;124;73;90;1.284;2023;Capital;São Paulo;051 DP - Butantã
ROUBO DE VEÍCULO;12;11;12;13;9;9;13;12;16;19;11;12;149;2023;Capital;São Paulo;051 DP - Butantã
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;051 DP - Butantã
ROUBO DE CARGA;1;0;3;4;4;2;2;1;2;1;4;1;25;2023;Capital;São Paulo;051 DP - Butantã
FURTO - OUTROS;137;140;151;150;181;171;185;190;178;170;182;150;1.985;2023;Capital;São Paulo;051 DP - Butantã
FURTO DE VEÍCULO;23;18;33;16;22;21;26;19;16;26;33;18;271;2023;Capital;São Paulo;051 DP - Butantã
