Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;052 DP - Parque São Jorge
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;052 DP - Parque São Jorge
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;052 DP - Parque São Jorge
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;052 DP - Parque São Jorge
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;2;0;0;0;1;0;1;0;0;0;1;5;2023;Capital;São Paulo;052 DP - Parque São Jorge
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;052 DP - Parque São Jorge
TENTATIVA DE HOMICÍDIO;0;0;0;0;2;0;0;0;0;0;0;0;2;2023;Capital;São Paulo;052 DP - Parque São Jorge
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;052 DP - Parque São Jorge
LESÃO CORPORAL DOLOSA;12;13;12;21;25;12;14;11;19;25;16;23;203;2023;Capital;São Paulo;052 DP - Parque São Jorge
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;6;10;4;5;5;11;5;8;11;8;6;6;85;2023;Capital;São Paulo;052 DP - Parque São Jorge
LESÃO CORPORAL CULPOSA - OUTRAS;2;0;0;0;0;3;1;1;0;3;1;0;11;2023;Capital;São Paulo;052 DP - Parque São Jorge
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;1;0;1;2023;Capital;São Paulo;052 DP - Parque São Jorge
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;1;0;1;2023;Capital;São Paulo;052 DP - Parque São Jorge
TOTAL DE ESTUPRO (4);2;1;0;1;2;1;0;3;0;4;2;2;18;2023;Capital;São Paulo;052 DP - Parque São Jorge
ESTUPRO;1;0;0;1;1;0;0;2;0;2;0;0;7;2023;Capital;São Paulo;052 DP - Parque São Jorge
ESTUPRO DE VULNERÁVEL;1;1;0;0;1;1;0;1;0;2;2;2;11;2023;Capital;São Paulo;052 DP - Parque São Jorge
TOTAL DE ROUBO - OUTROS (1);60;64;79;68;63;38;50;55;63;60;66;53;719;2023;Capital;São Paulo;052 DP - Parque São Jorge
ROUBO - OUTROS;58;61;77;66;60;38;50;55;61;59;65;53;703;2023;Capital;São Paulo;052 DP - Parque São Jorge
ROUBO DE VEÍCULO;3;2;6;4;3;4;10;5;4;4;5;7;57;2023;Capital;São Paulo;052 DP - Parque São Jorge
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;052 DP - Parque São Jorge
ROUBO DE CARGA;2;3;2;2;3;0;0;0;2;1;1;0;16;2023;Capital;São Paulo;052 DP - Parque São Jorge
FURTO - OUTROS;157;170;259;186;202;210;226;209;257;269;216;210;2.571;2023;Capital;São Paulo;052 DP - Parque São Jorge
FURTO DE VEÍCULO;14;28;53;18;43;32;26;45;37;36;35;24;391;2023;Capital;São Paulo;052 DP - Parque São Jorge
