Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);1;0;0;1;1;0;0;0;1;2;1;0;7;2023;Capital;São Paulo;053 DP - Parque do Carmo
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);1;0;0;2;1;0;0;0;1;2;1;0;8;2023;Capital;São Paulo;053 DP - Parque do Carmo
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;053 DP - Parque do Carmo
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;053 DP - Parque do Carmo
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;2;0;2;2;0;1;1;0;0;1;2;0;11;2023;Capital;São Paulo;053 DP - Parque do Carmo
HOMICÍDIO CULPOSO OUTROS;0;1;0;1;0;0;0;0;0;0;0;0;2;2023;Capital;São Paulo;053 DP - Parque do Carmo
TENTATIVA DE HOMICÍDIO;0;2;0;1;2;0;2;2;3;1;0;0;13;2023;Capital;São Paulo;053 DP - Parque do Carmo
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;053 DP - Parque do Carmo
LESÃO CORPORAL DOLOSA;40;27;29;30;39;31;31;45;31;27;55;37;422;2023;Capital;São Paulo;053 DP - Parque do Carmo
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;13;9;15;11;6;6;16;16;17;16;18;12;155;2023;Capital;São Paulo;053 DP - Parque do Carmo
LESÃO CORPORAL CULPOSA - OUTRAS;1;1;1;1;3;0;1;0;0;0;0;0;8;2023;Capital;São Paulo;053 DP - Parque do Carmo
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;053 DP - Parque do Carmo
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;053 DP - Parque do Carmo
TOTAL DE ESTUPRO (4);5;2;1;2;4;3;1;6;5;1;6;7;43;2023;Capital;São Paulo;053 DP - Parque do Carmo
ESTUPRO;2;1;0;0;2;1;0;2;1;0;3;1;13;2023;Capital;São Paulo;053 DP - Parque do Carmo
ESTUPRO DE VULNERÁVEL;3;1;1;2;2;2;1;4;4;1;3;6;30;2023;Capital;São Paulo;053 DP - Parque do Carmo
TOTAL DE ROUBO - OUTROS (1);100;78;92;76;89;80;92;101;87;77;95;98;1.065;2023;Capital;São Paulo;053 DP - Parque do Carmo
ROUBO - OUTROS;97;77;88;73;86;77;89;100;82;76;90;94;1.029;2023;Capital;São Paulo;053 DP - Parque do Carmo
ROUBO DE VEÍCULO;35;29;24;24;24;21;23;24;28;43;29;26;330;2023;Capital;São Paulo;053 DP - Parque do Carmo
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;053 DP - Parque do Carmo
ROUBO DE CARGA;3;1;4;3;3;3;3;1;5;1;5;4;36;2023;Capital;São Paulo;053 DP - Parque do Carmo
FURTO - OUTROS;120;117;147;145;154;140;153;132;149;140;132;101;1.630;2023;Capital;São Paulo;053 DP - Parque do Carmo
FURTO DE VEÍCULO;65;49;59;41;48;46;53;61;55;58;52;58;645;2023;Capital;São Paulo;053 DP - Parque do Carmo
