Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);1;0;0;4;0;1;0;0;0;2;0;2;10;2023;Capital;São Paulo;054 DP - Cidade Tiradentes
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);1;0;0;4;0;1;0;0;0;2;0;2;10;2023;Capital;São Paulo;054 DP - Cidade Tiradentes
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;054 DP - Cidade Tiradentes
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;054 DP - Cidade Tiradentes
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;2;0;0;0;1;1;0;4;2023;Capital;São Paulo;054 DP - Cidade Tiradentes
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;054 DP - Cidade Tiradentes
TENTATIVA DE HOMICÍDIO;2;2;0;0;1;0;0;1;1;1;2;2;12;2023;Capital;São Paulo;054 DP - Cidade Tiradentes
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;054 DP - Cidade Tiradentes
LESÃO CORPORAL DOLOSA;42;40;76;46;38;52;52;53;49;60;53;46;607;2023;Capital;São Paulo;054 DP - Cidade Tiradentes
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;6;8;10;7;12;10;7;10;10;15;12;7;114;2023;Capital;São Paulo;054 DP - Cidade Tiradentes
LESÃO CORPORAL CULPOSA - OUTRAS;2;0;0;1;0;1;1;2;0;0;0;0;7;2023;Capital;São Paulo;054 DP - Cidade Tiradentes
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;054 DP - Cidade Tiradentes
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;054 DP - Cidade Tiradentes
TOTAL DE ESTUPRO (4);5;5;4;6;7;2;6;6;6;4;8;5;64;2023;Capital;São Paulo;054 DP - Cidade Tiradentes
ESTUPRO;1;1;2;1;2;0;1;0;0;0;3;0;11;2023;Capital;São Paulo;054 DP - Cidade Tiradentes
ESTUPRO DE VULNERÁVEL;4;4;2;5;5;2;5;6;6;4;5;5;53;2023;Capital;São Paulo;054 DP - Cidade Tiradentes
TOTAL DE ROUBO - OUTROS (1);177;117;137;140;148;129;184;163;122;119;148;138;1.722;2023;Capital;São Paulo;054 DP - Cidade Tiradentes
ROUBO - OUTROS;175;116;132;137;144;125;180;160;120;118;145;131;1.683;2023;Capital;São Paulo;054 DP - Cidade Tiradentes
ROUBO DE VEÍCULO;31;28;38;24;26;20;24;35;26;35;30;14;331;2023;Capital;São Paulo;054 DP - Cidade Tiradentes
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;054 DP - Cidade Tiradentes
ROUBO DE CARGA;2;1;5;3;4;4;4;3;2;1;3;7;39;2023;Capital;São Paulo;054 DP - Cidade Tiradentes
FURTO - OUTROS;127;113;148;148;144;126;123;155;123;134;133;129;1.603;2023;Capital;São Paulo;054 DP - Cidade Tiradentes
FURTO DE VEÍCULO;36;22;29;36;19;34;29;29;24;33;29;43;363;2023;Capital;São Paulo;054 DP - Cidade Tiradentes
