Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);2;1;1;1;0;1;1;0;0;0;0;0;7;2023;Capital;São Paulo;055 DP - Parque São Rafael
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);2;1;1;1;0;1;1;0;0;0;0;0;7;2023;Capital;São Paulo;055 DP - Parque São Rafael
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;055 DP - Parque São Rafael
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;055 DP - Parque São Rafael
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;1;0;0;1;2;0;4;2023;Capital;São Paulo;055 DP - Parque São Rafael
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;055 DP - Parque São Rafael
TENTATIVA DE HOMICÍDIO;0;3;1;0;0;1;0;1;0;1;1;0;8;2023;Capital;São Paulo;055 DP - Parque São Rafael
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;055 DP - Parque São Rafael
LESÃO CORPORAL DOLOSA;14;23;30;33;28;17;24;25;27;30;31;23;305;2023;Capital;São Paulo;055 DP - Parque São Rafael
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;4;9;7;7;4;6;8;9;4;5;14;8;85;2023;Capital;São Paulo;055 DP - Parque São Rafael
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;1;0;0;0;0;0;0;0;0;1;2023;Capital;São Paulo;055 DP - Parque São Rafael
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;055 DP - Parque São Rafael
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;055 DP - Parque São Rafael
TOTAL DE ESTUPRO (4);3;3;5;1;4;4;0;3;2;2;3;2;32;2023;Capital;São Paulo;055 DP - Parque São Rafael
ESTUPRO;0;2;1;0;0;1;0;2;0;0;0;1;7;2023;Capital;São Paulo;055 DP - Parque São Rafael
ESTUPRO DE VULNERÁVEL;3;1;4;1;4;3;0;1;2;2;3;1;25;2023;Capital;São Paulo;055 DP - Parque São Rafael
TOTAL DE ROUBO - OUTROS (1);100;88;69;79;64;78;56;58;45;70;48;81;836;2023;Capital;São Paulo;055 DP - Parque São Rafael
ROUBO - OUTROS;99;88;67;76;63;76;55;57;42;68;47;77;815;2023;Capital;São Paulo;055 DP - Parque São Rafael
ROUBO DE VEÍCULO;12;20;30;12;22;14;20;17;17;15;20;24;223;2023;Capital;São Paulo;055 DP - Parque São Rafael
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;055 DP - Parque São Rafael
ROUBO DE CARGA;1;0;2;3;1;2;1;1;3;2;1;4;21;2023;Capital;São Paulo;055 DP - Parque São Rafael
FURTO - OUTROS;78;78;71;85;112;77;72;75;68;76;79;68;939;2023;Capital;São Paulo;055 DP - Parque São Rafael
FURTO DE VEÍCULO;25;21;27;26;24;30;17;23;23;20;27;23;286;2023;Capital;São Paulo;055 DP - Parque São Rafael
