Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);0;0;0;0;0;0;0;0;0;0;1;0;1;2023;Capital;São Paulo;056 DP - Vila Alpina
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;0;0;0;0;0;0;1;0;1;2023;Capital;São Paulo;056 DP - Vila Alpina
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;056 DP - Vila Alpina
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;056 DP - Vila Alpina
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;1;0;0;2;1;0;0;0;0;1;0;5;2023;Capital;São Paulo;056 DP - Vila Alpina
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;056 DP - Vila Alpina
TENTATIVA DE HOMICÍDIO;0;0;1;1;0;1;0;0;0;0;1;0;4;2023;Capital;São Paulo;056 DP - Vila Alpina
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;056 DP - Vila Alpina
LESÃO CORPORAL DOLOSA;20;19;21;19;15;18;13;13;14;17;19;19;207;2023;Capital;São Paulo;056 DP - Vila Alpina
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;9;3;11;8;16;10;13;13;6;12;11;8;120;2023;Capital;São Paulo;056 DP - Vila Alpina
LESÃO CORPORAL CULPOSA - OUTRAS;1;0;0;1;0;0;1;0;0;0;1;0;4;2023;Capital;São Paulo;056 DP - Vila Alpina
LATROCÍNIO;0;0;0;0;2;0;0;0;0;0;0;0;2;2023;Capital;São Paulo;056 DP - Vila Alpina
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;2;0;0;0;0;0;0;0;2;2023;Capital;São Paulo;056 DP - Vila Alpina
TOTAL DE ESTUPRO (4);4;2;0;1;4;1;0;1;1;1;0;2;17;2023;Capital;São Paulo;056 DP - Vila Alpina
ESTUPRO;2;0;0;1;0;1;0;0;0;0;0;2;6;2023;Capital;São Paulo;056 DP - Vila Alpina
ESTUPRO DE VULNERÁVEL;2;2;0;0;4;0;0;1;1;1;0;0;11;2023;Capital;São Paulo;056 DP - Vila Alpina
TOTAL DE ROUBO - OUTROS (1);64;55;93;64;74;57;42;61;68;96;75;56;805;2023;Capital;São Paulo;056 DP - Vila Alpina
ROUBO - OUTROS;61;55;91;64;73;56;41;59;67;95;73;56;791;2023;Capital;São Paulo;056 DP - Vila Alpina
ROUBO DE VEÍCULO;9;16;18;7;14;10;11;13;14;7;14;13;146;2023;Capital;São Paulo;056 DP - Vila Alpina
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;056 DP - Vila Alpina
ROUBO DE CARGA;3;0;2;0;1;1;1;2;1;1;2;0;14;2023;Capital;São Paulo;056 DP - Vila Alpina
FURTO - OUTROS;125;87;130;144;151;138;158;131;143;142;143;131;1.623;2023;Capital;São Paulo;056 DP - Vila Alpina
FURTO DE VEÍCULO;61;55;85;61;70;69;73;77;68;55;64;37;775;2023;Capital;São Paulo;056 DP - Vila Alpina
