Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;057 DP - Parque da Moóca
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;057 DP - Parque da Moóca
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;057 DP - Parque da Moóca
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;057 DP - Parque da Moóca
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;1;0;0;1;2023;Capital;São Paulo;057 DP - Parque da Moóca
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;057 DP - Parque da Moóca
TENTATIVA DE HOMICÍDIO;0;0;0;0;0;0;0;1;0;0;0;0;1;2023;Capital;São Paulo;057 DP - Parque da Moóca
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;057 DP - Parque da Moóca
LESÃO CORPORAL DOLOSA;9;11;20;9;14;14;14;17;15;19;18;19;179;2023;Capital;São Paulo;057 DP - Parque da Moóca
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;4;3;5;5;6;3;3;3;4;2;8;7;53;2023;Capital;São Paulo;057 DP - Parque da Moóca
LESÃO CORPORAL CULPOSA - OUTRAS;2;0;0;0;1;2;0;1;1;0;0;0;7;2023;Capital;São Paulo;057 DP - Parque da Moóca
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;057 DP - Parque da Moóca
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;057 DP - Parque da Moóca
TOTAL DE ESTUPRO (4);2;3;0;0;0;2;0;0;0;2;1;0;10;2023;Capital;São Paulo;057 DP - Parque da Moóca
ESTUPRO;0;2;0;0;0;1;0;0;0;0;0;0;3;2023;Capital;São Paulo;057 DP - Parque da Moóca
ESTUPRO DE VULNERÁVEL;2;1;0;0;0;1;0;0;0;2;1;0;7;2023;Capital;São Paulo;057 DP - Parque da Moóca
TOTAL DE ROUBO - OUTROS (1);25;20;28;19;19;23;19;33;15;41;37;23;302;2023;Capital;São Paulo;057 DP - Parque da Moóca
ROUBO - OUTROS;25;20;28;19;19;23;18;32;14;41;37;23;299;2023;Capital;São Paulo;057 DP - Parque da Moóca
ROUBO DE VEÍCULO;1;4;4;8;1;6;5;3;6;4;3;6;51;2023;Capital;São Paulo;057 DP - Parque da Moóca
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;057 DP - Parque da Moóca
ROUBO DE CARGA;0;0;0;0;0;0;1;1;1;0;0;0;3;2023;Capital;São Paulo;057 DP - Parque da Moóca
FURTO - OUTROS;68;36;54;70;84;78;79;83;60;83;78;68;841;2023;Capital;São Paulo;057 DP - Parque da Moóca
FURTO DE VEÍCULO;49;45;56;45;58;44;41;46;48;45;44;24;545;2023;Capital;São Paulo;057 DP - Parque da Moóca
