Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);0;0;0;0;0;0;0;1;0;0;0;0;1;2023;Capital;São Paulo;058 DP - Vila Formosa
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;0;0;0;1;0;0;0;0;1;2023;Capital;São Paulo;058 DP - Vila Formosa
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;058 DP - Vila Formosa
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;058 DP - Vila Formosa
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;1;0;0;0;0;0;0;2;0;0;3;2023;Capital;São Paulo;058 DP - Vila Formosa
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;058 DP - Vila Formosa
TENTATIVA DE HOMICÍDIO;0;0;1;0;1;0;0;0;0;0;0;0;2;2023;Capital;São Paulo;058 DP - Vila Formosa
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;058 DP - Vila Formosa
LESÃO CORPORAL DOLOSA;14;15;20;8;13;13;9;17;17;13;19;14;172;2023;Capital;São Paulo;058 DP - Vila Formosa
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;4;2;5;6;2;3;5;1;5;10;6;1;50;2023;Capital;São Paulo;058 DP - Vila Formosa
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;1;0;1;0;1;1;0;1;0;5;2023;Capital;São Paulo;058 DP - Vila Formosa
LATROCÍNIO;0;0;0;1;0;0;0;0;0;0;0;0;1;2023;Capital;São Paulo;058 DP - Vila Formosa
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;1;0;0;0;0;0;0;0;0;1;2023;Capital;São Paulo;058 DP - Vila Formosa
TOTAL DE ESTUPRO (4);2;1;1;2;1;0;1;2;0;0;0;1;11;2023;Capital;São Paulo;058 DP - Vila Formosa
ESTUPRO;0;0;1;0;1;0;1;1;0;0;0;1;5;2023;Capital;São Paulo;058 DP - Vila Formosa
ESTUPRO DE VULNERÁVEL;2;1;0;2;0;0;0;1;0;0;0;0;6;2023;Capital;São Paulo;058 DP - Vila Formosa
TOTAL DE ROUBO - OUTROS (1);44;24;34;25;31;24;21;29;23;28;26;23;332;2023;Capital;São Paulo;058 DP - Vila Formosa
ROUBO - OUTROS;44;24;33;25;31;24;21;29;23;28;26;23;331;2023;Capital;São Paulo;058 DP - Vila Formosa
ROUBO DE VEÍCULO;9;8;6;5;3;4;4;4;3;2;5;8;61;2023;Capital;São Paulo;058 DP - Vila Formosa
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;058 DP - Vila Formosa
ROUBO DE CARGA;0;0;1;0;0;0;0;0;0;0;0;0;1;2023;Capital;São Paulo;058 DP - Vila Formosa
FURTO - OUTROS;63;62;59;44;57;75;50;44;62;71;67;65;719;2023;Capital;São Paulo;058 DP - Vila Formosa
FURTO DE VEÍCULO;32;36;53;36;45;43;48;57;62;36;57;32;537;2023;Capital;São Paulo;058 DP - Vila Formosa
