Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);0;1;0;1;0;1;0;1;1;0;0;1;6;2023;Capital;São Paulo;059 DP - Jardim Noemia
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;1;0;1;0;1;0;1;1;0;0;1;6;2023;Capital;São Paulo;059 DP - Jardim Noemia
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;059 DP - Jardim Noemia
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;059 DP - Jardim Noemia
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;1;1;2023;Capital;São Paulo;059 DP - Jardim Noemia
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;059 DP - Jardim Noemia
TENTATIVA DE HOMICÍDIO;0;0;1;1;0;0;0;0;0;1;0;0;3;2023;Capital;São Paulo;059 DP - Jardim Noemia
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;059 DP - Jardim Noemia
LESÃO CORPORAL DOLOSA;27;27;34;26;25;26;26;26;26;42;29;47;361;2023;Capital;São Paulo;059 DP - Jardim Noemia
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;8;3;4;10;2;7;8;3;10;5;4;9;73;2023;Capital;São Paulo;059 DP - Jardim Noemia
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;0;0;1;0;0;0;0;1;2023;Capital;São Paulo;059 DP - Jardim Noemia
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;059 DP - Jardim Noemia
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;059 DP - Jardim Noemia
TOTAL DE ESTUPRO (4);3;2;5;2;5;1;2;3;2;2;6;7;40;2023;Capital;São Paulo;059 DP - Jardim Noemia
ESTUPRO;0;0;0;0;3;0;1;2;0;0;1;2;9;2023;Capital;São Paulo;059 DP - Jardim Noemia
ESTUPRO DE VULNERÁVEL;3;2;5;2;2;1;1;1;2;2;5;5;31;2023;Capital;São Paulo;059 DP - Jardim Noemia
TOTAL DE ROUBO - OUTROS (1);60;46;60;52;53;51;49;50;57;65;53;50;646;2023;Capital;São Paulo;059 DP - Jardim Noemia
ROUBO - OUTROS;59;46;57;51;52;50;49;50;57;65;53;49;638;2023;Capital;São Paulo;059 DP - Jardim Noemia
ROUBO DE VEÍCULO;7;12;17;6;15;15;7;11;10;9;4;4;117;2023;Capital;São Paulo;059 DP - Jardim Noemia
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;059 DP - Jardim Noemia
ROUBO DE CARGA;1;0;3;1;1;1;0;0;0;0;0;1;8;2023;Capital;São Paulo;059 DP - Jardim Noemia
FURTO - OUTROS;75;59;74;66;81;73;64;54;61;74;83;77;841;2023;Capital;São Paulo;059 DP - Jardim Noemia
FURTO DE VEÍCULO;12;11;7;11;5;9;8;10;11;5;8;10;107;2023;Capital;São Paulo;059 DP - Jardim Noemia
