Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);0;0;0;2;0;0;0;0;0;0;0;0;2;2023;Capital;São Paulo;062 DP - Ermelino Matarazzo
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;2;0;0;0;0;0;0;0;0;2;2023;Capital;São Paulo;062 DP - Ermelino Matarazzo
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;062 DP - Ermelino Matarazzo
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;062 DP - Ermelino Matarazzo
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;1;0;2;0;0;0;0;0;0;1;1;1;6;2023;Capital;São Paulo;062 DP - Ermelino Matarazzo
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;062 DP - Ermelino Matarazzo
TENTATIVA DE HOMICÍDIO;0;0;1;2;1;0;1;1;0;1;1;0;8;2023;Capital;São Paulo;062 DP - Ermelino Matarazzo
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;1;0;0;0;1;0;0;2;2023;Capital;São Paulo;062 DP - Ermelino Matarazzo
LESÃO CORPORAL DOLOSA;35;47;41;22;35;29;22;30;30;25;30;40;386;2023;Capital;São Paulo;062 DP - Ermelino Matarazzo
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;6;6;5;3;4;6;10;6;2;7;6;9;70;2023;Capital;São Paulo;062 DP - Ermelino Matarazzo
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;1;0;2;1;1;0;1;0;1;0;7;2023;Capital;São Paulo;062 DP - Ermelino Matarazzo
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;062 DP - Ermelino Matarazzo
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;062 DP - Ermelino Matarazzo
TOTAL DE ESTUPRO (4);5;5;2;3;5;3;0;5;2;3;4;2;39;2023;Capital;São Paulo;062 DP - Ermelino Matarazzo
ESTUPRO;2;2;0;0;1;1;0;0;2;0;2;0;10;2023;Capital;São Paulo;062 DP - Ermelino Matarazzo
ESTUPRO DE VULNERÁVEL;3;3;2;3;4;2;0;5;0;3;2;2;29;2023;Capital;São Paulo;062 DP - Ermelino Matarazzo
TOTAL DE ROUBO - OUTROS (1);93;88;89;55;49;46;59;55;75;60;51;74;794;2023;Capital;São Paulo;062 DP - Ermelino Matarazzo
ROUBO - OUTROS;92;87;89;55;49;46;59;55;75;60;51;74;792;2023;Capital;São Paulo;062 DP - Ermelino Matarazzo
ROUBO DE VEÍCULO;6;5;6;4;5;3;7;2;3;9;7;5;62;2023;Capital;São Paulo;062 DP - Ermelino Matarazzo
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;062 DP - Ermelino Matarazzo
ROUBO DE CARGA;1;1;0;0;0;0;0;0;0;0;0;0;2;2023;Capital;São Paulo;062 DP - Ermelino Matarazzo
FURTO - OUTROS;132;104;133;132;145;143;135;146;147;150;130;146;1.643;2023;Capital;São Paulo;062 DP - Ermelino Matarazzo
FURTO DE VEÍCULO;13;28;27;20;22;27;23;37;19;29;40;27;312;2023;Capital;São Paulo;062 DP - Ermelino Matarazzo
