Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);0;0;0;0;0;0;0;1;0;0;0;0;1;2023;Capital;São Paulo;063 DP - Vila Jacuí
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;0;0;0;1;0;0;0;0;1;2023;Capital;São Paulo;063 DP - Vila Jacuí
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;063 DP - Vila Jacuí
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;063 DP - Vila Jacuí
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;2;2;0;0;1;0;0;0;0;0;1;1;7;2023;Capital;São Paulo;063 DP - Vila Jacuí
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;063 DP - Vila Jacuí
TENTATIVA DE HOMICÍDIO;1;0;1;1;0;0;1;1;1;0;1;1;8;2023;Capital;São Paulo;063 DP - Vila Jacuí
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;063 DP - Vila Jacuí
LESÃO CORPORAL DOLOSA;29;37;45;38;38;39;32;32;40;42;57;40;469;2023;Capital;São Paulo;063 DP - Vila Jacuí
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;9;9;8;12;11;7;16;9;10;3;8;12;114;2023;Capital;São Paulo;063 DP - Vila Jacuí
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;2;0;0;2;1;0;0;0;0;1;6;2023;Capital;São Paulo;063 DP - Vila Jacuí
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;063 DP - Vila Jacuí
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;063 DP - Vila Jacuí
TOTAL DE ESTUPRO (4);4;2;4;4;4;4;4;8;2;4;4;3;47;2023;Capital;São Paulo;063 DP - Vila Jacuí
ESTUPRO;1;0;1;0;0;1;0;1;1;0;0;2;7;2023;Capital;São Paulo;063 DP - Vila Jacuí
ESTUPRO DE VULNERÁVEL;3;2;3;4;4;3;4;7;1;4;4;1;40;2023;Capital;São Paulo;063 DP - Vila Jacuí
TOTAL DE ROUBO - OUTROS (1);115;85;104;78;78;76;77;78;84;94;92;100;1.061;2023;Capital;São Paulo;063 DP - Vila Jacuí
ROUBO - OUTROS;113;84;104;76;77;76;76;77;83;94;87;98;1.045;2023;Capital;São Paulo;063 DP - Vila Jacuí
ROUBO DE VEÍCULO;6;5;15;11;9;14;8;10;9;5;17;16;125;2023;Capital;São Paulo;063 DP - Vila Jacuí
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;063 DP - Vila Jacuí
ROUBO DE CARGA;2;1;0;2;1;0;1;1;1;0;5;2;16;2023;Capital;São Paulo;063 DP - Vila Jacuí
FURTO - OUTROS;119;103;147;142;175;134;129;129;154;138;134;142;1.646;2023;Capital;São Paulo;063 DP - Vila Jacuí
FURTO DE VEÍCULO;38;25;36;37;25;22;19;34;32;34;32;48;382;2023;Capital;São Paulo;063 DP - Vila Jacuí
