Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);1;0;1;0;2;0;1;0;1;0;3;2;11;2023;Capital;São Paulo;064 DP - Cidade A E Carvalho
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);1;0;1;0;2;0;1;0;1;0;3;2;11;2023;Capital;São Paulo;064 DP - Cidade A E Carvalho
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;064 DP - Cidade A E Carvalho
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;064 DP - Cidade A E Carvalho
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;1;0;0;2;1;1;0;0;1;2;8;2023;Capital;São Paulo;064 DP - Cidade A E Carvalho
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;064 DP - Cidade A E Carvalho
TENTATIVA DE HOMICÍDIO;2;0;1;0;2;1;0;1;1;1;1;0;10;2023;Capital;São Paulo;064 DP - Cidade A E Carvalho
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;064 DP - Cidade A E Carvalho
LESÃO CORPORAL DOLOSA;60;54;53;50;44;54;40;60;50;54;54;54;627;2023;Capital;São Paulo;064 DP - Cidade A E Carvalho
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;12;9;9;12;13;10;11;12;11;15;10;17;141;2023;Capital;São Paulo;064 DP - Cidade A E Carvalho
LESÃO CORPORAL CULPOSA - OUTRAS;0;1;0;0;1;0;0;1;0;0;0;1;4;2023;Capital;São Paulo;064 DP - Cidade A E Carvalho
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;064 DP - Cidade A E Carvalho
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;064 DP - Cidade A E Carvalho
TOTAL DE ESTUPRO (4);2;1;5;7;2;3;3;5;12;2;4;5;51;2023;Capital;São Paulo;064 DP - Cidade A E Carvalho
ESTUPRO;0;0;0;1;0;2;1;1;2;0;1;3;11;2023;Capital;São Paulo;064 DP - Cidade A E Carvalho
ESTUPRO DE VULNERÁVEL;2;1;5;6;2;1;2;4;10;2;3;2;40;2023;Capital;São Paulo;064 DP - Cidade A E Carvalho
TOTAL DE ROUBO - OUTROS (1);135;115;154;127;111;102;116;123;108;135;117;125;1.468;2023;Capital;São Paulo;064 DP - Cidade A E Carvalho
ROUBO - OUTROS;135;112;154;125;111;102;116;123;108;132;116;125;1.459;2023;Capital;São Paulo;064 DP - Cidade A E Carvalho
ROUBO DE VEÍCULO;9;16;24;17;16;9;8;4;11;12;14;20;160;2023;Capital;São Paulo;064 DP - Cidade A E Carvalho
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;064 DP - Cidade A E Carvalho
ROUBO DE CARGA;0;3;0;2;0;0;0;0;0;3;1;0;9;2023;Capital;São Paulo;064 DP - Cidade A E Carvalho
FURTO - OUTROS;214;181;244;223;203;167;185;206;190;240;223;254;2.530;2023;Capital;São Paulo;064 DP - Cidade A E Carvalho
FURTO DE VEÍCULO;47;37;36;47;41;45;53;47;43;51;48;44;539;2023;Capital;São Paulo;064 DP - Cidade A E Carvalho
