Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);0;0;0;0;0;0;0;0;1;1;0;0;2;2023;Capital;São Paulo;065 DP - Artur Alvim
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;0;0;0;0;1;1;0;0;2;2023;Capital;São Paulo;065 DP - Artur Alvim
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;065 DP - Artur Alvim
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;065 DP - Artur Alvim
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;1;0;2;1;0;0;0;0;0;0;1;5;2023;Capital;São Paulo;065 DP - Artur Alvim
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;065 DP - Artur Alvim
TENTATIVA DE HOMICÍDIO;0;1;2;1;0;0;0;0;0;0;0;1;5;2023;Capital;São Paulo;065 DP - Artur Alvim
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;065 DP - Artur Alvim
LESÃO CORPORAL DOLOSA;25;31;23;20;21;32;26;22;32;28;37;35;332;2023;Capital;São Paulo;065 DP - Artur Alvim
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;5;6;9;15;7;9;10;8;7;7;4;10;97;2023;Capital;São Paulo;065 DP - Artur Alvim
LESÃO CORPORAL CULPOSA - OUTRAS;1;0;1;1;1;1;0;0;1;1;1;2;10;2023;Capital;São Paulo;065 DP - Artur Alvim
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;065 DP - Artur Alvim
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;065 DP - Artur Alvim
TOTAL DE ESTUPRO (4);2;4;0;0;1;3;2;3;3;3;2;1;24;2023;Capital;São Paulo;065 DP - Artur Alvim
ESTUPRO;0;0;0;0;0;0;0;0;0;1;0;0;1;2023;Capital;São Paulo;065 DP - Artur Alvim
ESTUPRO DE VULNERÁVEL;2;4;0;0;1;3;2;3;3;2;2;1;23;2023;Capital;São Paulo;065 DP - Artur Alvim
TOTAL DE ROUBO - OUTROS (1);88;74;66;81;59;95;79;77;84;100;73;112;988;2023;Capital;São Paulo;065 DP - Artur Alvim
ROUBO - OUTROS;88;72;62;79;59;94;78;76;84;99;73;112;976;2023;Capital;São Paulo;065 DP - Artur Alvim
ROUBO DE VEÍCULO;13;7;7;9;7;9;12;11;9;6;10;10;110;2023;Capital;São Paulo;065 DP - Artur Alvim
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;065 DP - Artur Alvim
ROUBO DE CARGA;0;2;4;2;0;1;1;1;0;1;0;0;12;2023;Capital;São Paulo;065 DP - Artur Alvim
FURTO - OUTROS;179;227;237;170;214;307;259;253;210;286;229;295;2.866;2023;Capital;São Paulo;065 DP - Artur Alvim
FURTO DE VEÍCULO;27;29;21;34;41;30;38;30;27;18;17;18;330;2023;Capital;São Paulo;065 DP - Artur Alvim
