Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);0;0;1;0;0;0;0;1;0;0;0;0;2;2023;Capital;São Paulo;066 DP - Vale do Aricanduva
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;1;0;0;0;0;1;0;0;0;0;2;2023;Capital;São Paulo;066 DP - Vale do Aricanduva
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;066 DP - Vale do Aricanduva
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;066 DP - Vale do Aricanduva
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;1;1;1;1;0;0;1;1;6;2023;Capital;São Paulo;066 DP - Vale do Aricanduva
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;066 DP - Vale do Aricanduva
TENTATIVA DE HOMICÍDIO;1;0;0;0;0;0;0;1;1;2;0;0;5;2023;Capital;São Paulo;066 DP - Vale do Aricanduva
LESÃO CORPORAL SEGUIDA DE MORTE;1;0;0;0;0;0;0;0;0;1;0;0;2;2023;Capital;São Paulo;066 DP - Vale do Aricanduva
LESÃO CORPORAL DOLOSA;30;34;36;23;31;32;33;35;31;34;36;39;394;2023;Capital;São Paulo;066 DP - Vale do Aricanduva
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;19;16;10;15;10;5;12;15;13;8;6;13;142;2023;Capital;São Paulo;066 DP - Vale do Aricanduva
LESÃO CORPORAL CULPOSA - OUTRAS;3;1;2;0;4;1;1;2;0;2;2;4;22;2023;Capital;São Paulo;066 DP - Vale do Aricanduva
LATROCÍNIO;0;0;0;0;0;0;0;1;0;0;0;0;1;2023;Capital;São Paulo;066 DP - Vale do Aricanduva
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;1;0;0;0;0;1;2023;Capital;São Paulo;066 DP - Vale do Aricanduva
TOTAL DE ESTUPRO (4);2;7;3;3;3;5;6;3;6;3;4;2;47;2023;Capital;São Paulo;066 DP - Vale do Aricanduva
ESTUPRO;2;3;0;0;0;0;1;1;2;0;0;0;9;2023;Capital;São Paulo;066 DP - Vale do Aricanduva
ESTUPRO DE VULNERÁVEL;0;4;3;3;3;5;5;2;4;3;4;2;38;2023;Capital;São Paulo;066 DP - Vale do Aricanduva
TOTAL DE ROUBO - OUTROS (1);92;76;90;77;70;59;68;83;88;97;113;88;1.001;2023;Capital;São Paulo;066 DP - Vale do Aricanduva
ROUBO - OUTROS;87;72;88;76;66;58;65;83;84;97;113;86;975;2023;Capital;São Paulo;066 DP - Vale do Aricanduva
ROUBO DE VEÍCULO;17;14;10;18;11;5;17;17;17;10;23;20;179;2023;Capital;São Paulo;066 DP - Vale do Aricanduva
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;066 DP - Vale do Aricanduva
ROUBO DE CARGA;5;4;2;1;4;1;3;0;4;0;0;2;26;2023;Capital;São Paulo;066 DP - Vale do Aricanduva
FURTO - OUTROS;125;111;149;131;146;144;145;127;122;134;140;157;1.631;2023;Capital;São Paulo;066 DP - Vale do Aricanduva
FURTO DE VEÍCULO;33;39;34;32;38;23;38;30;29;45;33;38;412;2023;Capital;São Paulo;066 DP - Vale do Aricanduva
