Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);0;0;0;0;1;0;0;0;0;0;0;1;2;2023;Capital;São Paulo;067 DP - Jardim Robru
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;1;0;0;0;0;0;0;1;2;2023;Capital;São Paulo;067 DP - Jardim Robru
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;067 DP - Jardim Robru
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;067 DP - Jardim Robru
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;067 DP - Jardim Robru
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;067 DP - Jardim Robru
TENTATIVA DE HOMICÍDIO;1;0;2;0;0;0;0;0;0;1;0;1;5;2023;Capital;São Paulo;067 DP - Jardim Robru
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;067 DP - Jardim Robru
LESÃO CORPORAL DOLOSA;22;14;24;26;18;26;21;26;23;30;44;35;309;2023;Capital;São Paulo;067 DP - Jardim Robru
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;5;3;4;4;3;4;6;6;9;4;4;1;53;2023;Capital;São Paulo;067 DP - Jardim Robru
LESÃO CORPORAL CULPOSA - OUTRAS;2;0;0;0;0;0;1;0;0;0;0;0;3;2023;Capital;São Paulo;067 DP - Jardim Robru
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;067 DP - Jardim Robru
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;067 DP - Jardim Robru
TOTAL DE ESTUPRO (4);4;4;4;2;3;2;1;4;3;9;3;2;41;2023;Capital;São Paulo;067 DP - Jardim Robru
ESTUPRO;1;0;1;1;0;2;0;1;0;2;1;1;10;2023;Capital;São Paulo;067 DP - Jardim Robru
ESTUPRO DE VULNERÁVEL;3;4;3;1;3;0;1;3;3;7;2;1;31;2023;Capital;São Paulo;067 DP - Jardim Robru
TOTAL DE ROUBO - OUTROS (1);63;44;75;71;60;60;73;77;62;60;70;75;790;2023;Capital;São Paulo;067 DP - Jardim Robru
ROUBO - OUTROS;61;44;74;71;58;58;71;75;61;59;69;74;775;2023;Capital;São Paulo;067 DP - Jardim Robru
ROUBO DE VEÍCULO;11;0;6;8;5;9;6;7;7;11;10;6;86;2023;Capital;São Paulo;067 DP - Jardim Robru
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;067 DP - Jardim Robru
ROUBO DE CARGA;2;0;1;0;2;2;2;2;1;1;1;1;15;2023;Capital;São Paulo;067 DP - Jardim Robru
FURTO - OUTROS;65;48;76;80;88;90;85;88;78;71;61;84;914;2023;Capital;São Paulo;067 DP - Jardim Robru
FURTO DE VEÍCULO;10;11;8;6;10;9;14;8;9;22;18;16;141;2023;Capital;São Paulo;067 DP - Jardim Robru
