Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);0;0;0;0;0;2;0;0;0;1;1;1;5;2023;Capital;São Paulo;068 DP - Lajeado
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;0;2;0;0;0;1;1;1;5;2023;Capital;São Paulo;068 DP - Lajeado
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;068 DP - Lajeado
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;068 DP - Lajeado
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;1;0;0;0;1;1;0;0;0;0;1;2;6;2023;Capital;São Paulo;068 DP - Lajeado
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;068 DP - Lajeado
TENTATIVA DE HOMICÍDIO;0;0;2;0;0;1;0;0;1;0;3;0;7;2023;Capital;São Paulo;068 DP - Lajeado
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;068 DP - Lajeado
LESÃO CORPORAL DOLOSA;37;33;53;42;35;36;44;45;42;40;47;48;502;2023;Capital;São Paulo;068 DP - Lajeado
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;4;7;12;12;5;4;5;11;12;10;12;9;103;2023;Capital;São Paulo;068 DP - Lajeado
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;2;0;0;1;2;0;0;0;5;2023;Capital;São Paulo;068 DP - Lajeado
LATROCÍNIO;0;0;0;1;0;0;0;0;0;0;0;0;1;2023;Capital;São Paulo;068 DP - Lajeado
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;1;0;0;0;0;0;0;0;0;1;2023;Capital;São Paulo;068 DP - Lajeado
TOTAL DE ESTUPRO (4);1;6;9;7;1;7;3;2;5;0;3;2;46;2023;Capital;São Paulo;068 DP - Lajeado
ESTUPRO;0;0;2;1;0;0;0;0;1;0;0;0;4;2023;Capital;São Paulo;068 DP - Lajeado
ESTUPRO DE VULNERÁVEL;1;6;7;6;1;7;3;2;4;0;3;2;42;2023;Capital;São Paulo;068 DP - Lajeado
TOTAL DE ROUBO - OUTROS (1);120;83;105;130;130;165;148;124;144;160;118;124;1.551;2023;Capital;São Paulo;068 DP - Lajeado
ROUBO - OUTROS;120;82;103;130;130;160;148;124;144;160;117;123;1.541;2023;Capital;São Paulo;068 DP - Lajeado
ROUBO DE VEÍCULO;14;7;15;17;12;29;13;21;13;24;22;25;212;2023;Capital;São Paulo;068 DP - Lajeado
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;068 DP - Lajeado
ROUBO DE CARGA;0;1;2;0;0;5;0;0;0;0;1;1;10;2023;Capital;São Paulo;068 DP - Lajeado
FURTO - OUTROS;139;100;182;151;207;152;185;160;134;156;123;124;1.813;2023;Capital;São Paulo;068 DP - Lajeado
FURTO DE VEÍCULO;24;17;28;19;20;13;19;23;20;23;18;17;241;2023;Capital;São Paulo;068 DP - Lajeado
