Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);0;1;0;0;2;0;0;0;1;1;0;1;6;2023;Capital;São Paulo;069 DP - Teotônio Vilela
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;1;0;0;2;0;0;0;1;1;0;1;6;2023;Capital;São Paulo;069 DP - Teotônio Vilela
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;069 DP - Teotônio Vilela
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;069 DP - Teotônio Vilela
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;2;0;0;0;1;0;0;1;0;0;1;5;2023;Capital;São Paulo;069 DP - Teotônio Vilela
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;069 DP - Teotônio Vilela
TENTATIVA DE HOMICÍDIO;0;1;0;0;1;1;1;1;0;1;1;0;7;2023;Capital;São Paulo;069 DP - Teotônio Vilela
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;069 DP - Teotônio Vilela
LESÃO CORPORAL DOLOSA;32;38;52;43;35;39;38;38;48;39;36;48;486;2023;Capital;São Paulo;069 DP - Teotônio Vilela
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;4;9;9;8;10;11;8;9;17;8;5;2;100;2023;Capital;São Paulo;069 DP - Teotônio Vilela
LESÃO CORPORAL CULPOSA - OUTRAS;1;0;0;1;1;0;0;1;0;2;0;0;6;2023;Capital;São Paulo;069 DP - Teotônio Vilela
LATROCÍNIO;0;0;0;0;1;0;0;0;0;0;0;0;1;2023;Capital;São Paulo;069 DP - Teotônio Vilela
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;1;0;0;0;0;0;0;0;1;2023;Capital;São Paulo;069 DP - Teotônio Vilela
TOTAL DE ESTUPRO (4);2;4;4;5;3;6;4;6;3;8;5;1;51;2023;Capital;São Paulo;069 DP - Teotônio Vilela
ESTUPRO;0;1;1;0;0;0;1;1;0;1;1;0;6;2023;Capital;São Paulo;069 DP - Teotônio Vilela
ESTUPRO DE VULNERÁVEL;2;3;3;5;3;6;3;5;3;7;4;1;45;2023;Capital;São Paulo;069 DP - Teotônio Vilela
TOTAL DE ROUBO - OUTROS (1);151;102;143;126;96;89;71;94;106;92;104;99;1.273;2023;Capital;São Paulo;069 DP - Teotônio Vilela
ROUBO - OUTROS;148;101;140;124;96;89;71;92;105;90;103;98;1.257;2023;Capital;São Paulo;069 DP - Teotônio Vilela
ROUBO DE VEÍCULO;18;16;25;26;17;19;12;21;21;15;18;19;227;2023;Capital;São Paulo;069 DP - Teotônio Vilela
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;069 DP - Teotônio Vilela
ROUBO DE CARGA;3;1;3;2;0;0;0;2;1;2;1;1;16;2023;Capital;São Paulo;069 DP - Teotônio Vilela
FURTO - OUTROS;136;102;136;108;147;108;89;123;97;123;86;102;1.357;2023;Capital;São Paulo;069 DP - Teotônio Vilela
FURTO DE VEÍCULO;87;56;75;65;72;68;62;68;59;65;68;54;799;2023;Capital;São Paulo;069 DP - Teotônio Vilela
