Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);0;0;1;0;1;0;1;0;0;1;0;1;5;2023;Capital;São Paulo;072 DP - Vila Penteado
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;1;0;1;0;1;0;0;1;0;1;5;2023;Capital;São Paulo;072 DP - Vila Penteado
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;072 DP - Vila Penteado
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;072 DP - Vila Penteado
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;1;0;0;1;0;0;0;1;0;1;1;5;2023;Capital;São Paulo;072 DP - Vila Penteado
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;072 DP - Vila Penteado
TENTATIVA DE HOMICÍDIO;0;0;1;1;0;0;0;0;4;0;1;3;10;2023;Capital;São Paulo;072 DP - Vila Penteado
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;072 DP - Vila Penteado
LESÃO CORPORAL DOLOSA;33;25;36;35;24;30;32;28;34;39;38;42;396;2023;Capital;São Paulo;072 DP - Vila Penteado
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;5;7;8;3;11;3;8;5;6;10;5;6;77;2023;Capital;São Paulo;072 DP - Vila Penteado
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;1;0;1;0;0;1;1;0;0;0;4;2023;Capital;São Paulo;072 DP - Vila Penteado
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;072 DP - Vila Penteado
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;072 DP - Vila Penteado
TOTAL DE ESTUPRO (4);1;5;7;6;4;1;6;2;2;2;3;3;42;2023;Capital;São Paulo;072 DP - Vila Penteado
ESTUPRO;0;1;2;2;1;0;2;0;2;0;0;0;10;2023;Capital;São Paulo;072 DP - Vila Penteado
ESTUPRO DE VULNERÁVEL;1;4;5;4;3;1;4;2;0;2;3;3;32;2023;Capital;São Paulo;072 DP - Vila Penteado
TOTAL DE ROUBO - OUTROS (1);93;77;69;81;57;52;69;69;70;77;46;67;827;2023;Capital;São Paulo;072 DP - Vila Penteado
ROUBO - OUTROS;87;72;62;69;54;49;62;65;69;76;44;66;775;2023;Capital;São Paulo;072 DP - Vila Penteado
ROUBO DE VEÍCULO;5;3;5;6;5;7;3;3;4;2;6;8;57;2023;Capital;São Paulo;072 DP - Vila Penteado
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;072 DP - Vila Penteado
ROUBO DE CARGA;6;5;7;12;3;3;7;4;1;1;2;1;52;2023;Capital;São Paulo;072 DP - Vila Penteado
FURTO - OUTROS;70;90;100;81;92;95;83;94;106;106;92;85;1.094;2023;Capital;São Paulo;072 DP - Vila Penteado
FURTO DE VEÍCULO;14;6;16;14;26;7;9;14;8;13;10;11;148;2023;Capital;São Paulo;072 DP - Vila Penteado
