Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);3;1;0;0;2;2;0;1;2;0;1;0;12;2023;Capital;São Paulo;073 DP - Jaçanã
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);3;1;0;0;2;3;0;1;2;0;2;0;14;2023;Capital;São Paulo;073 DP - Jaçanã
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;073 DP - Jaçanã
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;073 DP - Jaçanã
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;2;3;3;1;3;1;1;2;3;3;1;1;24;2023;Capital;São Paulo;073 DP - Jaçanã
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;073 DP - Jaçanã
TENTATIVA DE HOMICÍDIO;4;3;2;0;0;2;0;0;2;2;2;0;17;2023;Capital;São Paulo;073 DP - Jaçanã
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;073 DP - Jaçanã
LESÃO CORPORAL DOLOSA;55;41;81;64;53;56;80;61;60;49;65;76;741;2023;Capital;São Paulo;073 DP - Jaçanã
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;16;18;19;18;13;15;19;19;27;25;26;22;237;2023;Capital;São Paulo;073 DP - Jaçanã
LESÃO CORPORAL CULPOSA - OUTRAS;1;0;0;0;0;1;0;1;1;0;0;0;4;2023;Capital;São Paulo;073 DP - Jaçanã
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;073 DP - Jaçanã
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;073 DP - Jaçanã
TOTAL DE ESTUPRO (4);5;3;7;2;6;5;7;8;9;7;8;9;76;2023;Capital;São Paulo;073 DP - Jaçanã
ESTUPRO;2;0;1;1;1;2;1;1;2;1;2;1;15;2023;Capital;São Paulo;073 DP - Jaçanã
ESTUPRO DE VULNERÁVEL;3;3;6;1;5;3;6;7;7;6;6;8;61;2023;Capital;São Paulo;073 DP - Jaçanã
TOTAL DE ROUBO - OUTROS (1);149;145;148;99;102;128;115;124;108;97;109;117;1.441;2023;Capital;São Paulo;073 DP - Jaçanã
ROUBO - OUTROS;138;134;136;89;90;120;105;113;102;91;100;100;1.318;2023;Capital;São Paulo;073 DP - Jaçanã
ROUBO DE VEÍCULO;23;13;18;19;24;28;13;15;22;23;36;29;263;2023;Capital;São Paulo;073 DP - Jaçanã
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;073 DP - Jaçanã
ROUBO DE CARGA;11;11;12;10;12;8;10;11;6;6;9;17;123;2023;Capital;São Paulo;073 DP - Jaçanã
FURTO - OUTROS;213;208;221;206;204;218;222;224;247;228;209;254;2.654;2023;Capital;São Paulo;073 DP - Jaçanã
FURTO DE VEÍCULO;30;36;27;37;37;28;32;40;37;31;35;31;401;2023;Capital;São Paulo;073 DP - Jaçanã
