Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);1;1;3;3;1;0;0;0;1;1;0;1;12;2023;Capital;São Paulo;074 DP - Jaraguá
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);1;1;3;3;1;0;0;0;1;1;0;1;12;2023;Capital;São Paulo;074 DP - Jaraguá
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;074 DP - Jaraguá
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;074 DP - Jaraguá
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;1;0;0;0;0;0;0;0;1;2023;Capital;São Paulo;074 DP - Jaraguá
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;074 DP - Jaraguá
TENTATIVA DE HOMICÍDIO;1;0;1;0;0;0;1;3;0;1;4;2;13;2023;Capital;São Paulo;074 DP - Jaraguá
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;074 DP - Jaraguá
LESÃO CORPORAL DOLOSA;48;29;69;42;44;46;55;62;63;67;55;65;645;2023;Capital;São Paulo;074 DP - Jaraguá
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;7;9;7;17;13;13;17;19;11;16;18;12;159;2023;Capital;São Paulo;074 DP - Jaraguá
LESÃO CORPORAL CULPOSA - OUTRAS;1;1;0;0;1;0;1;1;0;1;0;1;7;2023;Capital;São Paulo;074 DP - Jaraguá
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;074 DP - Jaraguá
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;074 DP - Jaraguá
TOTAL DE ESTUPRO (4);4;5;9;7;7;3;6;12;5;8;11;5;82;2023;Capital;São Paulo;074 DP - Jaraguá
ESTUPRO;0;0;3;0;0;2;1;5;0;1;1;0;13;2023;Capital;São Paulo;074 DP - Jaraguá
ESTUPRO DE VULNERÁVEL;4;5;6;7;7;1;5;7;5;7;10;5;69;2023;Capital;São Paulo;074 DP - Jaraguá
TOTAL DE ROUBO - OUTROS (1);147;126;147;146;147;156;148;159;141;169;146;150;1.782;2023;Capital;São Paulo;074 DP - Jaraguá
ROUBO - OUTROS;131;117;138;138;138;142;134;146;129;157;138;145;1.653;2023;Capital;São Paulo;074 DP - Jaraguá
ROUBO DE VEÍCULO;25;19;25;17;13;25;17;15;21;20;22;25;244;2023;Capital;São Paulo;074 DP - Jaraguá
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;074 DP - Jaraguá
ROUBO DE CARGA;16;9;9;8;9;14;14;13;12;12;8;5;129;2023;Capital;São Paulo;074 DP - Jaraguá
FURTO - OUTROS;108;125;157;131;160;151;153;142;147;134;176;161;1.745;2023;Capital;São Paulo;074 DP - Jaraguá
FURTO DE VEÍCULO;20;16;26;11;24;22;26;20;15;31;26;18;255;2023;Capital;São Paulo;074 DP - Jaraguá
